z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,As,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.26899999999999996,0.0388,0.0,0.606,0.9335,0.783878916188544,2.1e-09,-1.153,0.0,0.0,4769.539002115023,5190.32369169585,5644.9003845916395,6134.900599022208,6661.913795038093,7227.404355280422,7832.659232608922,8478.75181155155,9166.492819864367,9896.368468802317,10668.43742612935,11482.100011433327,12336.121279147212,13228.595138021441,14156.613842998962,15116.033209919802,16101.656307980058,17107.159157105067,18124.554681206806,19144.33163941661,20155.35239242094,21144.731502943592,22097.774429078094,22997.95031240234,23826.911842213784,24564.584719543993,25189.34472289221,25678.353252569377,26008.077662661995,26155.100758037453,26097.293904695336,25815.491768445536,25295.66084586035,24531.712328970505,23528.730124505077,22306.244336407628,20900.85976217612,19367.286262140107,17776.43688699226,16209.932405351054,14719.308429433004,13400.921590326481,12282.0268721779,11332.013349390827,10466.7605767325,9635.57954715907,8761.978978982941,7765.677196344896,6730.557884657764,5800.909971549586,5064.163765750715,4522.459159962325,4069.1361779036,3588.5553006271907,3099.8705801275196,2696.3051037778796,2387.045657977566,2105.192143394755,1842.2475776170509,1623.3524739434831,1435.007932567998,1269.2110830457077,1127.068897237767,1003.8525325429706,897.3409601120098,805.0680482494711,724.9523636771427,655.13634164308,593.9953734429644,540.1094874638032,492.2453494732218,449.34013313940386,410.48902248645385,374.93528713588296,342.0625618448623,311.38849224165267,282.55775656886703,255.3330973419597,229.58264693337534,205.26266014845453,182.39560565851335,161.04479201592088,141.28780865384755,123.19189728465248,106.794573668079,92.092152539423,79.03725036960782,67.54425433520204,57.49994312871304,48.7756788663838,41.23809019215488,34.75656229945504,29.20742615592307,24.475802307916506,20.456261759881126,17.05302592604298,14.180076111913024,11.761439243297952,9.73118626832843,8.032239529940023
0.0,0.193,0.0356,0.0,0.518,0.9295,0.4554298472810818,2.1e-09,-0.733,0.0,0.0,6003.944549271241,6453.234720801596,6929.501473877005,7434.2395459561385,7969.03959669273,8534.85341088662,9131.664594969363,9759.07464384143,10416.180505824013,11100.935045650387,11810.344865896202,12540.59793737091,13286.910139579284,14043.384407389354,14803.11160503786,15558.180765870013,16299.623419579193,17017.514611818257,17701.14309061693,18339.029318420486,18918.899698205616,19428.014378673743,19853.309022676836,20181.595312125508,20399.78694308465,20495.161203097832,20455.71334856673,20270.550591406813,19930.465340109055,19428.6589145795,18761.694626612218,17930.675320618713,16942.67532334075,15812.277305291183,14563.034688398177,13228.508789550275,11852.330367833692,10486.784562368788,9189.001713711466,8009.577802130622,6994.967439293147,6175.875832437972,5526.689056484293,5000.187554021098,4554.216213666873,4146.927726073772,3693.158371267779,3132.8598691753073,2574.580668043359,2099.11195953659,1768.8567691772903,1567.23683805493,1405.0815666851684,1195.8716686044802,974.6172249382427,812.380094564882,705.8336826587827,602.3353136798281,501.26440898856924,425.80950785498186,362.18599208464326,306.20305283903747,260.7181528950323,221.98963790120897,189.69682995560734,162.5674736426401,139.83301852703096,120.75157506969784,104.7223681352029,91.23603330206494,79.86581415753083,70.25442344682168,62.103054068977166,55.16194417495853,49.222388924861725,44.11008619687543,39.67955489828442,35.80956906526646,32.39941540211004,29.365874728533214,26.640792927088235,24.16911891022256,21.907276787916054,19.821745258948557,17.88773058814425,16.087845132069106,14.410740704357094,12.849691795578433,11.401170845765224,10.063495994507718,8.835649617861147,7.716356137134527,6.703470912190996,5.793680401242367,4.982465470127406,4.264250172837044,3.632653154889298,3.0807729576218748,2.6014613259123145,2.1875598114344417
0.0,0.26299999999999996,0.042,0.0,0.698,0.9175,0.8946681599244183,2.1e-09,-1.177,0.0,0.0,5194.216414000272,5649.524396591208,6141.711562403865,6672.7107097331145,7244.363416425502,7858.417502293494,8516.585282142958,9220.432634346866,9971.309872138698,10770.227290639492,11617.772136859836,12514.099399871702,13458.801270397622,14450.529667336403,15487.057705093968,16565.269893034372,17680.509754031136,18826.728985442147,19996.408390601267,21180.102790077228,22366.38458575489,23541.62568894756,24689.815783664613,25792.415150737954,26828.261337911863,27773.517012534623,28601.815271385476,29284.51132644186,29791.27676858365,30091.07219125837,30153.658030026945,29951.793731014655,29464.31471189718,28680.036230010213,27602.304522987364,26253.573324879893,24678.89016948534,22946.914785310357,21146.46837514299,19368.195735575227,17700.91581193528,16238.49294567117,14995.647035102696,13919.68288767983,12956.401645852136,11961.974548606579,10841.268619331942,9592.184630828753,8344.275579365521,7255.127656681001,6422.10352099636,5799.660665159739,5228.750280885717,4607.368115816162,4012.0393641526584,3540.8853480652265,3160.109925590858,2797.3830103606733,2471.216651800155,2199.041760618482,1958.397049216586,1747.9949260107107,1565.7860322988784,1406.8495004326865,1268.4614010298299,1147.5889799208173,1041.6577368348583,948.3474473955761,865.6094135832708,791.6456323727334,724.8948170271678,664.0217043308955,607.9098244269679,555.6558853883718,506.56482247888374,460.1425497077425,416.0830093532586,374.24743598894617,334.6340869841948,297.3392456997129,262.51220944236064,230.30919598473315,200.8523755965967,174.20024637701957,150.33372077405068,129.1586068683988,110.5207540577987,94.22702453273483,80.0651870674045,67.81870988535202,57.27608435750569,48.236298891354345,40.51214018428335,33.932642203854364,28.34506897630098,23.61497970882052,19.62371107831409,16.26578137829477,13.448285516296846,11.091019957683503
0.0,0.187,0.0436,0.0,0.674,0.9405,0.597994496867599,2.1e-09,-0.7569999999999999,0.0,0.0,5768.2120175844,6226.904320830725,6717.855500638729,7243.205743236611,7805.191361653905,8406.118037847413,9047.55828132559,9730.434841565964,10455.35422871895,11222.370472755005,12030.523339234496,12878.047650245335,13762.337207777276,14679.586565570356,15624.654240107879,16591.177289168027,17571.536900926458,18556.6293224241,19535.46469493398,20495.42312108919,21421.990709968755,22298.801662099,23107.591793597116,23828.245704232442,24438.915364175355,24916.24501792286,25235.80519172753,25372.768762208354,25302.960194913157,25004.40406005796,24459.437475404215,23657.45977040425,22598.418859014007,21296.53988182574,19783.901883786413,18112.865880875357,16355.996584249051,14601.983874052332,12938.448260294088,11446.226988963539,10218.19544569385,9273.218057047978,8542.679925747989,7950.990757567222,7433.235307387133,6780.6830241226135,5927.226962728838,4969.561928170095,4087.5037209122775,3445.6931638414844,3072.3011106164163,2821.938942582365,2487.6562771013737,2067.545637953791,1725.900718506074,1522.6408674369854,1340.004789314052,1133.2779968858338,975.6908390005804,851.2573991927877,732.8492999686587,637.3051830581095,554.5198976927227,484.29876001122636,424.4570226842801,373.5338375923242,330.10236511417673,293.0223651941249,261.28569908290825,234.0359378516921,210.5408640542671,190.17580166215433,172.40871000106728,156.7872624894313,142.92848913589253,130.51004888750612,119.26339662519082,108.96836536545703,99.44887665460423,90.56927271380378,82.23078287127996,74.36762102604042,66.94236387626958,59.94044924785978,53.36389212538072,47.2245854737812,41.537777228934736,36.316418475956,31.56699971283754,27.287223822674115,23.46548401052959,20.08176623591122,17.109407494655983,14.517155829572864,12.271135998458577,10.336521074225224,8.678866014328573,7.265132576953198,6.064435648013138,5.0485218235706295
0.0,0.217,0.040400000000000005,0.0,0.614,0.9725,0.6170909188296648,2.1e-09,-0.7689999999999999,0.0,0.0,4371.586784691191,4737.379962688913,5130.287738379563,5552.381480488952,6005.42922346004,6491.207500191915,7011.480455146718,7567.444873324284,8159.759928947717,8788.75000000134,9454.228870645624,10155.1730866498,10889.832846718287,11655.687514202888,12449.20967231763,13265.76149660483,14099.646404253877,14943.774958229436,15789.92765319238,16628.411533141552,17447.985732888228,18235.91389891899,18977.941066931973,19658.312151753486,20259.844131741098,20764.08681417269,21151.569527680313,21402.241077660197,21496.120380099692,21414.251211227325,21140.0779763035,20661.240543175216,19971.938547049413,19075.670573593834,17988.136751981154,16739.789336619306,15377.176586446525,13962.094844082549,12567.487826934828,11252.03238084528,10092.337974403867,9148.366172430802,8388.432462576357,7752.655395089947,7192.908719630873,6643.077787810219,5941.985837125494,5124.249859382722,4310.50801567148,3634.6778899194674,3173.4525432651067,2873.4660603011275,2584.5298339379283,2216.513964353914,1858.2094787747142,1608.5109756471177,1424.738733194512,1230.8730772522777,1055.3903907901836,922.2317100849249,801.6949450905179,697.688613506453,610.3316545535683,534.7474832195418,470.45879254553114,415.39630326137933,368.29343258932124,327.92130519075965,293.2393452270886,263.35041153510474,237.48232433208722,214.97217842532103,195.25211421598564,177.83699395714,162.31445553893045,148.33687431169398,135.61489356297622,123.91243168166821,113.0425797270604,102.86394950221155,93.27683461226452,84.2186624708114,75.65836826782648,67.58959102385828,60.0229197186458,52.97774506544743,46.474523155995705,40.52833784293418,35.144487543400636,30.316427423596327,26.025894669043435,22.244634013635014,18.936975476386706,16.06260558658715,13.579102969752437,11.444034461005327,9.616551465660999,8.05849137041968,6.735002001068515,5.614732378500182
0.0,0.235,0.028,0.0,0.646,0.9325,0.7480193053443669,2.1e-09,-0.865,0.0,0.0,5374.868096440262,5820.493780357258,6299.174548859012,6812.858882389587,7363.399418055574,7952.646673022096,8582.20342068235,9253.09076555121,9965.987760124508,10721.19022216171,11518.270283422906,12356.019605776402,13232.511823463487,14144.917258866166,15089.15932255756,16060.030419161008,17051.190017880257,18054.897425680196,19061.79293662644,20061.006431093036,21039.976847979367,21984.489480319553,22878.631310520785,23704.86069073764,24444.078156213858,25075.8504007515,25578.698384464366,25930.602566291378,26109.725621526308,26095.443893011892,25869.78946716305,25419.34530173575,24737.60914810803,23827.7461237221,22705.42475683871,21401.23435859707,19961.914950464063,18449.291818178626,16935.453898551623,15472.174466671971,14139.493003208589,12978.183657948844,11963.905679906416,11018.879434150567,10101.07958159969,9184.151866727276,8152.834877292892,7093.099029305795,6138.393182888822,5364.766559099174,4776.709784908692,4279.51126423225,3765.8139957713433,3247.561618464795,2816.4260950731373,2483.1861848409667,2181.212833297884,1900.0045857375696,1665.8119361026204,1465.0596727433635,1288.3147080807962,1137.3911016230702,1006.8941927383935,894.5649427055412,797.7377718870523,714.2083729827696,641.9980613327581,579.3830951437917,524.8556623886305,477.10309539337464,434.9865209311622,397.522900173724,363.86989846597845,333.31389459423843,305.2610568754704,279.23045822027933,254.84842714513377,231.84271351833004,210.03511370280538,189.33127649240538,169.70691076311476,151.19035429456207,133.84239503652228,117.73513875317168,102.93237379422484,89.47403823471856,77.36684125555509,66.58184031655591,57.058194403941364,48.7110210070624,41.440790169527695,35.1420560929162,29.710174172210376,25.045541265942433,21.055638907527538,17.65562610595033,14.768277566460055,12.323804019237102,10.259828254325194,8.521529434075186
0.0,0.251,0.0568,0.0,0.79,0.9815,0.873653027276316,2.1e-09,-0.8109999999999999,0.0,0.0,3386.8796792998123,3688.5215625392757,4015.2362784615443,4369.272424802447,4752.911112399291,5168.349421115806,5617.889661838483,6103.901881299499,6628.486799691578,7193.553099186701,7800.892767558322,8452.018510381087,9147.946780879241,9889.27126692957,10676.075451882707,11507.633314287157,12382.471934460538,13297.6732084726,14249.567364363485,15232.844705765845,16240.41784385113,17263.234483312728,18289.995227523163,19306.857664174902,20297.159308349714,21241.1748247366,22115.97940929775,22895.4208492678,23550.386658763215,24049.409573748013,24359.831287375426,24449.676449012622,24290.49389249262,23861.230369962574,23153.093022580844,22174.84100133482,20957.497147993487,19556.964714610345,18052.781332344766,16534.997491086986,15103.683286681566,13850.645629288389,12814.36649157372,11974.917033234524,11255.486148310863,10539.336558003657,9703.454718068095,8675.359372831144,7551.6046727111925,6525.056223496586,5743.865192929171,5214.148777570179,4781.056578581444,4267.175220241071,3707.942108946548,3256.322340132042,2928.7341750166547,2614.0527494397084,2305.6722579206735,2055.8567520619995,1837.3190090535843,1640.5843219190606,1471.8617424094903,1323.52906019295,1194.332088925649,1081.3571635058947,982.4222995886281,895.4433395510654,818.5793843692992,750.1918955317591,688.839309843373,633.266202033301,582.3946354249861,535.3177176710061,491.2969025066367,449.76189540095885,410.3080141441307,372.6885562657892,336.79889809525787,302.6519629451912,270.345546721239,240.02416660101315,211.83958923828217,185.91549510845775,162.3217695153282,141.0622098571202,122.07611755208566,105.25039661169154,90.43633539939478,77.46563158876332,66.16282368721032,56.353809240277705,47.87134663338572,40.5589154362683,34.27370674424598,28.88775080844638,24.286488443968764,20.366803223232804,17.036590705549568,14.215225772867672
0.0,0.205,0.0432,0.0,0.754,0.9925,0.7727832260399357,2.1e-09,-0.835,0.0,0.0,4434.915573889775,4828.691442335593,5254.576664183053,5715.0947093731,6212.8871196584,6750.290169375762,7329.505980202773,7952.695964966262,8621.726252884933,9337.906509907294,10102.154867922878,10914.913204298722,11775.803965665591,12683.579668858934,13636.124818490622,14630.18885259037,15660.891906722214,16722.298679412765,17806.411051307423,18903.374256514086,20001.11954217581,21085.20421245759,22138.585452747917,23141.455091970627,24071.14695472488,24902.136204386785,25606.230423681605,26153.039590703345,26510.852776888074,26648.058429608904,26535.296402449905,26148.498958645614,25472.869795004874,24507.61893292503,23270.961109619057,21804.24961086254,20173.8328112354,18468.581815171365,16783.389642803904,15215.98256649539,13871.100274569397,12779.783200859723,11902.582067000894,11184.158614574146,10455.69731295336,9578.81929679757,8494.31962327436,7302.880079301377,6210.0289236506815,5397.507737236475,4874.272413433921,4463.652650497591,3954.8059784952875,3378.6231211090735,2918.907066556396,2609.1243508956945,2312.2886665740193,2008.1849709781382,1770.3067784247007,1567.1609878686784,1381.2798284936289,1225.6258521236168,1089.1713074712768,971.6910698683223,869.9341739036346,781.8808308283338,705.4827384583566,639.0083289108712,580.9198336885327,529.8703670015088,484.68270495636756,444.33417180565885,407.94403989679694,374.763407745688,344.1679386491343,315.65190833651815,288.8237240717296,263.4009998619771,239.20379861815402,216.14430772096057,194.21205681247065,173.45457361756638,153.95454069692659,135.8055891656812,119.08967653185667,103.85923880503523,90.12668976003444,77.86232365584584,66.99965720027775,57.445507763521164,49.09138936529101,41.823329704333574,35.52859595050969,30.09936728017054,25.434375451723376,21.439631647397544,18.028930439601243,15.124481020794416,12.657564075545197,10.568294593509897
0.0,0.33499999999999996,0.0412,0.0,0.8580000000000001,0.9675,1.2760990804845358,2.1e-09,-1.045,0.0,0.0,2911.615072064012,3181.821876713884,3476.212434832794,3796.6672788935034,4145.15086579179,4523.716039133224,4934.496341493498,5379.668619688991,5861.444155089647,6382.065540040514,6943.745983496668,7548.554941561375,8198.444147064885,8895.208445167335,9640.246284791654,10434.452546249853,11278.261718836155,12171.478344716661,13112.822896113623,14099.968245363412,15129.228993940478,16195.277566025736,17290.82738513912,18406.28540561305,19529.386533097782,20644.803670979,21733.822248812583,22774.039552154965,23739.288942100433,24599.75921791083,25322.65988766173,25873.42837030163,26217.99259741157,26326.049001621708,26175.536846215316,25757.858299553933,25082.771671863928,24181.65096797416,23107.203060093554,21928.028681151678,20712.27994775612,19532.23484588018,18431.365916413055,17414.543288428704,16441.82838016712,15456.057400573014,14401.47724766962,13256.25707886416,12075.24701505189,10973.316876506822,10021.176917334395,9217.53692639333,8481.32044734808,7736.0202208998135,7007.678504128964,6363.419466406626,5797.743237430319,5272.902060942021,4791.105262571509,4361.8880974229205,3976.1910866295048,3630.230988243524,3321.2439778213743,3045.09895337761,2798.0945468943873,2576.5103166948948,2376.7817542800913,2195.543746170607,2029.6871749604213,1876.4095794341326,1733.2637375297809,1598.204387237505,1469.6292142931222,1346.4050510994446,1227.8711383854907,1113.8125901502794,1004.3995327922174,900.09424589617,801.5326845669575,709.3927215354964,624.2653625358442,546.5486264772629,476.38328354251956,413.6422486738606,357.97081228144157,308.8597237806367,265.7253463460512,227.9736297059675,195.03695320626258,166.3881960322333,141.54387837232278,120.064513891123,101.55240900006397,85.64845080419524,72.02981795620897,60.405700532398725,50.51456705384437,42.12463609785948,35.031073867822116,29.052722246970294
0.0,0.293,0.0476,0.0,0.8180000000000001,0.9395,1.0908918699745023,2.1e-09,-1.069,0.0,0.0,3839.8527204669144,4184.713002773903,4559.072919623944,4964.970802162739,5404.505831806028,5879.824436349813,6393.10339034635,6946.513011968995,7542.164450527424,8182.105169207074,8868.278805081445,9602.336688034191,10385.579407376756,11218.9806956638,12102.999898633629,13037.306019834477,14020.835615903401,15051.390209466468,16125.584973240642,17238.557551750095,18383.71879158539,19552.449915831676,20733.795918604228,21914.15093451243,23076.915486632144,24202.213671104397,25266.65174213409,26243.223776142902,27101.443047019053,27807.80456823919,28326.77085439746,28622.540615772166,28661.726761700764,28417.235446093073,27873.291820368893,27031.031859937695,25913.7663848021,24570.22250706196,23073.887780193476,21513.646774869354,19980.146977084354,18565.663131835077,17313.907396445702,16214.967546884469,15200.866154224555,14181.2930246558,13065.81505696955,11828.19757653639,10544.186745980403,9362.654897434179,8403.000274052118,7655.941022301078,6989.09762605666,6291.295846232166,5599.947706735687,5013.194461675829,4526.564719817774,4073.248537367862,3656.472861865355,3296.3190443668977,2976.6218765665667,2692.555725505944,2442.529041008715,2221.5720443399955,2026.3077549942404,1853.2273815209123,1699.1428322326342,1561.1200513790043,1436.506286864543,1322.938998708982,1218.3567127191454,1121.0121892425843,1029.487038687298,942.7017501185525,859.916127044388,780.7150099242378,704.9742646915976,632.8069841319027,564.4918726152961,500.39089723503565,440.86577072984807,386.20448323860217,336.5680320730971,291.9644148518644,252.251673673406,217.16505020122904,186.35729609694533,159.43949129556478,136.01416654890622,115.69861557908828,98.13799909027155,83.0085098581761,70.0153305607948,58.891476993323934,49.398027446696176,41.321523854113494,34.47088112553216,28.677614064757947,23.79384390705929,19.689372201509588
