z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,As,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.26899999999999996,0.0388,0.0,0.606,0.9335,0.783878916188544,2.1e-09,-1.153,0.0,0.0,8.470004933953028,8.554551342557279,8.638507829765816,8.721749154735384,8.804162078867757,8.885635240358514,8.966057352349534,9.045318525918123,9.123310029701008,9.199923147494179,9.275044888035461,9.348544580969506,9.420286927073462,9.49013606386839,9.557937203268857,9.623511261471451,9.686677421953206,9.747252319033556,9.805022910108317,9.859761952851063,9.911225159517544,9.959146051927819,10.003232177868197,10.043160374088073,10.078570970516518,10.109061039088143,10.134176355625698,10.153403630068995,10.166162448085942,10.171799508140532,10.169586906123016,10.158730046849351,10.13838815193766,10.107721940318507,10.06597751190574,10.012621933336847,9.947545574053027,9.87134064654172,9.785629088928443,9.693379444785867,9.596915409483065,9.503078758971583,9.415892242818712,9.33538703897573,9.255959855487268,9.173217729237654,9.078177069259226,8.957468943157417,8.814413314397475,8.665770075874784,8.529944302509389,8.416811186816808,8.311186014608941,8.185504977264745,8.03911564125579,7.89963763468614,7.777811753921949,7.652162021473209,7.518741614741671,7.392248718269291,7.268925656100392,7.146150791979225,7.0273756454789025,6.91160040952648,6.799435901442273,6.690926805832857,6.586105947423082,6.484843369154243,6.386871530515753,6.29177187356899,6.198977269984961,6.107780135789202,6.017349186723596,5.926753443441258,5.8349936497040105,5.741041303809061,5.6438829777212325,5.542568956823855,5.4362630820306626,5.324290428030571,5.206177985565553,5.081682537569893,4.950799006094469,4.813743280143152,4.670907116883987,4.522789733761578,4.3699192650005925,4.212783002834497,4.051783958736955,3.8872318047389953,3.719362348477864,3.5483683973319633,3.3744229973486073,3.1976849685909023,3.0182890341468034,2.8363276616511475,2.651837888643386,2.464826319616272,2.275335807402456,2.083463384459392
0.0,0.193,0.0356,0.0,0.518,0.9295,0.4554298472810818,2.1e-09,-0.733,0.0,0.0,8.700171957079665,8.772336791178184,8.843543152204845,8.913851573361471,8.983319262226253,9.051913460023828,9.11950327843481,9.185952863830463,9.251115693966398,9.314784622099458,9.376731109941709,9.436726495456115,9.494534629535345,9.549906703188158,9.60259268123776,9.652341873536477,9.698897283434672,9.74199836395657,9.78138449786742,9.816786817387987,9.847916685428812,9.874471343565924,9.896125973616503,9.91252634490219,9.923279735811331,9.927944098391665,9.926017503799253,9.916924401948716,9.900004761660258,9.874504518609035,9.839572550389502,9.794268230174264,9.737590885095475,9.668541961910858,9.586241726433887,9.490129536436559,9.380279782742509,9.257871130319183,9.125762581996838,8.988393329825632,8.8529462322343,8.728405986651142,8.617344191246557,8.517230701516944,8.423808723245196,8.330123032092045,8.214237298110637,8.049701562590037,7.853441952474963,7.649269657862923,7.478088723768877,7.357069372004237,7.247850634662935,7.0866306282555405,6.8820448041073625,6.69996832739335,6.559379632770066,6.400814289710349,6.217133724319476,6.0539920816017725,5.892157870169803,5.724248453255651,5.563439949873312,5.4026307046622355,5.245427165971648,5.091093138005067,4.940448985940057,4.793735336503078,4.651312735318478,4.513449921044371,4.38034790336176,4.252123273446046,4.128795167584848,4.010273298405468,3.896348579438521,3.7866884682494986,3.6808360650726195,3.578215150016304,3.4781403794907524,3.3798332766640864,3.282443609759573,3.1850757401917096,3.086818855052692,2.9867795804716346,2.8841150358208227,2.7780640261229927,2.667973810797056,2.553319826273701,2.4337160558954527,2.308914618667046,2.178794630840119,2.0433422496463733,1.9026254388527788,1.7567677375293231,1.6059248428504735,1.450266356070484,1.289963277965591,1.1251805257670653,0.9560733355651905,0.7827866812458671
0.0,0.26299999999999996,0.042,0.0,0.698,0.9175,0.8946681599244183,2.1e-09,-1.177,0.0,0.0,8.55530105750799,8.639326643002878,8.722858738387762,8.805781459608571,8.887978985666733,8.969340529566454,9.049770751005319,9.129177238914721,9.207467235684053,9.284540873979696,9.360291285419862,9.434611239620233,9.50738854056988,9.578486348047784,9.647759967343582,9.71506360757044,9.780218168017573,9.843032893626795,9.903307955939688,9.960817472310628,10.015314422546929,10.066525439132642,10.114146121139443,10.157835741281728,10.197211138409392,10.231838220194337,10.261225465821207,10.28481403156348,10.301970903754455,10.311983801799439,10.314061522491475,10.307344492602118,10.290935139302489,10.263956557962766,10.225654545429231,10.175557385417468,10.113703508186696,10.040938774439278,9.959228190633052,9.871387604699377,9.781371658010716,9.69513981049771,9.615515240309039,9.541059152571435,9.469345280571137,9.389488109915112,9.291115299449693,9.168703944940445,9.029331023384204,8.889463760846601,8.7675009942636,8.665554688816027,8.561927576475885,8.43541206532881,8.297054960637047,8.172132073181958,8.058362092555305,7.936439619958874,7.812465879927475,7.6957769811059,7.579881585585145,7.4662246534714,7.35614323394538,7.249108086526634,7.14555994974691,7.0454184813430984,6.948568700827111,6.854720940799753,6.7634337832448095,6.674113857813211,6.586026564367032,6.498314836187542,6.410026555879173,6.320149191474008,6.227652296701982,6.13153633214595,6.030884782070027,5.924917172211329,5.81303765719596,5.694873728354493,5.570297593111396,5.439422736488551,5.302570188450538,5.160205478751613,5.0128576280422275,4.861041159740226,4.705203322849519,4.54570702507504,4.382841141215906,4.2168381138883095,4.047883160635343,3.8761118266595465,3.7016016868307755,3.52437744796745,3.3444530812289766,3.1618812440981037,2.976738583973473,2.789063599244496,2.598851627015444,2.4061357680695026
0.0,0.187,0.0436,0.0,0.674,0.9405,0.597994496867599,2.1e-09,-0.7569999999999999,0.0,0.0,8.660117435845484,8.736634589543344,8.812524260658197,8.887819169595646,8.96254435047779,9.036715057561096,9.110250197122106,9.18301386498987,9.254869492562708,9.325664428843435,9.395202310868264,9.463279408219046,9.529690952279942,9.594213138663632,9.656605345726664,9.716626344450166,9.774035650373612,9.828582380063954,9.879986795019605,9.92795687781385,9.972173276656697,10.012288218878714,10.047916491590076,10.078626950271394,10.10393203276617,10.123275280084028,10.1360191060017,10.141431781924606,10.138676671622715,10.126807250737881,10.104771411241806,10.071433767880224,10.025635220822393,9.966299891638954,9.892623849817058,9.804377786887319,9.702349872646717,9.588912680249742,9.467958642803412,9.345415434064,9.231925277295781,9.134885745788276,9.05283004619058,8.981051823476864,8.913716481346125,8.82183311688144,8.68731175407456,8.511086971980498,8.315689725520025,8.14488037187027,8.030182107242915,7.945179495956994,7.819096292024719,7.634117500634288,7.4535043488453265,7.3282015190721275,7.200428467053534,7.032869594466896,6.883145772913918,6.746714549576064,6.596940087255085,6.457248635125887,6.3181026901731565,6.182701989032638,6.050810758421777,5.92300859643269,5.7994028036749725,5.680248937824513,5.565614441150946,5.455474684128201,5.349679762805767,5.247948916266378,5.149867879001351,5.0548898704931124,4.9623444292074375,4.871450226767567,4.781334464131169,4.691057614100445,4.59964370965654,4.506115002254183,4.409529719444355,4.3090206458485945,4.203832008518949,4.093351556819719,3.97713433982776,3.854914635663103,3.7266033078428458,3.5922699386272807,3.4521122620333413,3.3064186008051144,3.155530575947333,2.9998122509110163,2.8396284581201603,2.6753311107037527,2.5072498378486974,2.335683359297509,2.160890876627119,1.9830865455760704,1.8024414874504007,1.619095492236025
0.0,0.217,0.040400000000000005,0.0,0.614,0.9725,0.6170909188296648,2.1e-09,-0.7689999999999999,0.0,0.0,8.38288133080664,8.463239511378683,8.542917025944607,8.621982210288893,8.700419209638284,8.778203847891483,8.855304149620457,8.931610756207865,9.006970027053269,9.081227773513524,9.154217419928951,9.225738518344837,9.29558486656387,9.363549538507684,9.429412419742775,9.492941671377588,9.553904998339318,9.612050101350246,9.667127525427436,9.718868049473384,9.766979490187884,9.811148219832768,9.851032587192808,9.88625553812114,9.916396084374318,9.94098017793302,9.959469391067634,9.971250918781996,9.975627750395933,9.971811923817208,9.958925947984289,9.936014786523199,9.902083494660499,9.85616901011372,9.797467750262253,9.725543759532938,9.640639649253261,9.544101425522785,9.438868426951567,9.328304047391358,9.219531798538666,9.121330581935686,9.034608947986097,8.955790695287092,8.880850919620128,8.801330657337797,8.689798672499936,8.541739424392704,8.36881104521709,8.198275772539002,8.062575404566681,7.963274266602987,7.857298887977451,7.7036909543474925,7.527368657246141,7.383064170185249,7.26174373076632,7.115479015468464,6.9616660161264265,6.826796504439443,6.686728167790807,6.547772890769668,6.4140025054077,6.281794641489619,6.153708372927463,6.029233012176076,5.908879991604064,5.792773656399065,5.680989153462048,5.57348550862081,5.470093196840207,5.370508617081489,5.274291616912057,5.180867366438071,5.089535537337641,4.999485864977434,4.909819204010147,4.819575120015522,4.727764559480522,4.633407236481217,4.535571787766802,4.433416541235211,4.326228052329793,4.213453992255937,4.09472648459123,3.9698719209420514,3.838904273328851,3.702001429262232,3.559467779312304,3.411689724794724,3.259091991202882,3.102100811600072,2.941116385269458,2.776493936117858,2.6085320647022994,2.437468586456078,2.263485724906898,2.086726364113236,1.9073181069771332,1.7253939251667745
0.0,0.235,0.028,0.0,0.646,0.9325,0.7480193053443669,2.1e-09,-0.865,0.0,0.0,8.589489312497587,8.669140379112388,8.748173879804598,8.82656711756775,8.904276982543568,8.981260067090073,9.057445968449574,9.132712911511543,9.206933350677291,9.279977456648346,9.351689773967964,9.421898640778586,9.490432097248727,9.557110634221646,9.62173183931254,9.684088881593667,9.743975276046154,9.801172252481363,9.855441240812743,9.90653323129893,9.954179566469833,9.998092460072586,10.037958623360055,10.073435398530831,10.104143263367487,10.129660526542258,10.149515189728122,10.163179116453659,10.170063153079028,10.169516014586671,10.160831137039617,10.143265789169277,10.116080002154064,10.078605984156066,10.030359150991451,9.971203879654771,9.901581484665572,9.822781264893438,9.73716456728724,9.646798493913881,9.556727083306226,9.471025046564172,9.389649536059988,9.307365392795333,9.220397586384395,9.125234654433875,9.006120983458048,8.866877622659086,8.722318290294746,8.587608142300644,8.471507258960964,8.361594091455657,8.233719317602063,8.085659722487858,7.94322401800226,7.817297766523426,7.687636346629814,7.549611578697709,7.418067932863143,7.289651252869662,7.161090215390538,7.036492411405372,6.914625815438847,6.796337502555439,6.681779936788981,6.571174758674335,6.464585283954495,6.3619639084232285,6.263123296008216,6.167732600435147,6.075315044243452,5.9852525429349,5.896796381949583,5.809084672396286,5.721167334695064,5.632037455985068,5.540668965078302,5.446059182775488,5.347274724848348,5.243498266397582,5.134072894823585,5.018539667362353,4.896662951292235,4.768437514767207,4.634072207491764,4.4939485076110115,4.348558281251981,4.198431872446107,4.044071701470121,3.885905308532102,3.7242656655669224,3.5593985925132494,3.3914895518676444,3.2206958183126213,3.0471684058472803,2.8710544921302037,2.6924814727125304,2.5115326782416276,2.328236100257996,2.1425958357727337
0.0,0.251,0.0568,0.0,0.79,0.9815,0.873653027276316,2.1e-09,-0.8109999999999999,0.0,0.0,8.127664327917449,8.212980996190224,8.297851473581224,8.38235178104789,8.46651257507143,8.550308655621828,8.63371136735713,8.716683498342878,8.799131821789622,8.880940501000786,8.96199346350721,9.042160568792836,9.121284737556799,9.199205738072807,9.275760577929443,9.35076586061557,9.42403719791111,9.495344352173497,9.564481824840366,9.631209211491802,9.695258342685854,9.756334344723358,9.814109480451206,9.868215631169294,9.91823621968871,9.963696785725315,10.004055676425457,10.038692206633012,10.066897517940914,10.087865725284445,10.100690795994243,10.10437226164624,10.097840354950993,10.080010260540462,10.049883658476503,10.006713636975515,9.950251720426758,9.881086753357772,9.80105504232493,9.713234473682407,9.622693919328142,9.536087126362098,9.458322202661963,9.39056949392397,9.32861094639386,9.26286987495328,9.180237257584668,9.068242030219972,8.929515359091711,8.7834048487816,8.655887641255086,8.559131128334565,8.472416842603653,8.358707346380768,8.218232314089908,8.088353721034425,7.982325586484029,7.868657073567291,7.743127564934887,7.628447951026176,7.516062727761459,7.402807751213747,7.29428336988404,7.1880569785042665,7.085342386709689,6.985972164091839,6.890021256227916,6.797318947082529,6.70757037973104,6.620329034512599,6.5350080215248285,6.450890874078841,6.3671482856879,6.2828604354337045,6.197048634466425,6.108718321399072,6.016908131658386,5.920743101065561,5.819486010674155,5.712583508175547,5.599700943420249,5.4807396124435614,5.355829333728081,5.225292243101366,5.089580596858633,4.949200997736438,4.804644764540968,4.656342240837496,4.5046461269005755,4.349834374629545,4.192118729478359,4.0316498378510355,3.868517134059211,3.70275561918844,3.5343784929858533,3.363417657811061,3.1899201645914803,3.0139062823920098,2.8353634254179028,2.6543136276970363
0.0,0.205,0.0432,0.0,0.754,0.9925,0.7727832260399357,2.1e-09,-0.835,0.0,0.0,8.39726385823549,8.482330787028491,8.566854721394867,8.65086614816038,8.734380981486993,8.817340770998284,8.899663395638447,8.981266265251948,9.062040604963672,9.141837363691012,9.220504033332471,9.297885316987125,9.37380219389273,9.448063496419367,9.520477786815976,9.590842402515296,9.6589219223752,9.724498358015191,9.787313842855786,9.84709571720347,9.90354352807826,9.956326851334499,10.005077313198381,10.049380880878303,10.088769180440561,10.122708870113767,10.1505909767816,10.17172069947628,10.185309466886702,10.190471572516298,10.186231065444565,10.171547066646536,10.145369235164003,10.106739325043621,10.054961557962494,9.989860166057671,9.912141638242055,9.823826287092702,9.728144964555627,9.630101639049458,9.537562837817212,9.455619763848647,9.384510635983018,9.322253646648967,9.254902306238648,9.167309616688572,9.04715293946527,8.896024080740577,8.73392083250938,8.593692595873154,8.491726123766902,8.403722689765232,8.282686821727935,8.125223544864571,7.978964532922284,7.866769946283668,7.7459930777830435,7.604986593590093,7.478908131693399,7.3570209734342535,7.230765760322393,7.111206892206762,6.993172417697649,6.879037924588408,6.768417546606372,6.661702338687641,6.5588823038898685,6.459917488581903,6.364612767449768,6.272632386065826,6.183494460259624,6.09657691854331,6.011130007881571,5.9262949141830905,5.841129731993084,5.7546400505312,5.665816550707562,5.573677585285184,5.4773159024610605,5.375946275911265,5.2689506384432985,5.1559157415752725,5.036657368556705,4.911224371609624,4.779876793610766,4.643036509340935,4.5012163445004685,4.354942185762748,4.204687502964112,4.050836807391011,3.8936836500791316,3.7334543107337548,3.570337891957136,3.4045041509415532,3.236101623293618,3.065241155429898,2.891977714302093,2.7163146906534625,2.5382549871082647,2.357858442825998
0.0,0.33499999999999996,0.0412,0.0,0.8580000000000001,0.9675,1.2760990804845358,2.1e-09,-1.045,0.0,0.0,7.976463213787928,8.065209228925442,8.153698599256861,8.241878929026882,8.329694463961753,8.417089067612022,8.504005888197966,8.590382056405442,8.676151295057071,8.761247076299798,8.84559667495345,8.929111425455353,9.011699677086963,9.093268033795836,9.173701935493144,9.25286835491032,9.330632410236914,9.406850653108387,9.481345877462457,9.553927824261837,9.62438384672259,9.692474970453665,9.757931430923904,9.820447483396864,9.879675611861643,9.935218928513724,9.98662495510461,10.033376550093156,10.074886715823787,10.110491933982749,10.139454921596176,10.160971789410949,10.17420119441015,10.178314184323046,10.172580545412474,10.156495036216656,10.129936501872933,10.093349400083346,10.04789966868716,9.995520945951107,9.938482037550735,9.879821448756624,9.82180916166761,9.765060957272679,9.707583877764836,9.645756270250592,9.575086066946165,9.492224952314862,9.398912935044613,9.303221866410972,9.212455824561143,9.128863136218348,9.045621429794588,8.953642650999907,8.854761756011538,8.75832116380187,8.66522402382186,8.570336165669758,8.474516407539596,8.38066029247169,8.2880796266391,8.197051558359332,8.108094683845845,8.021288676620122,7.9366939455388685,7.854191171911202,7.7735026475285975,7.694185015182725,7.615636959156335,7.5371154316609115,7.4577614636701925,7.376636020048286,7.292765412781393,7.2051933944288615,7.1130371670327355,7.015544174871785,6.912145162122248,6.80249947550421,6.686525750465765,6.5644092822579845,6.436575538445929,6.3036232816587665,6.166222747744012,6.025001466608594,5.880451453136847,5.732887205475465,5.58246324281912,5.429229963081048,5.273189044232063,5.114323588564648,4.952609763517977,4.788029214077827,4.620575010049937,4.450251137089855,4.277080171565147,4.101083480162764,3.922261751197503,3.7406327500087313,3.5562354924010138,3.3691121879254147
0.0,0.293,0.0476,0.0,0.8180000000000001,0.9395,1.0908918699745023,2.1e-09,-1.069,0.0,0.0,8.253189290801163,8.33919340297917,8.424874574738729,8.5101626957294,8.594988297920533,8.679282182683284,8.762975093066167,8.84599508775624,8.928264482211642,9.009704752135296,9.090236009696373,9.169761752841298,9.248173527471888,9.325362327861052,9.401208626363294,9.475570220566278,9.54829976051742,9.61922563863295,9.688162418416237,9.754903872025274,9.819220703604346,9.880855872950004,9.93952030099697,9.994887868525467,10.04658806726414,10.094199381973864,10.13724069228147,10.175163092834202,10.20734225441761,10.233072000143386,10.251562603073387,10.261949819812497,10.263317949452095,10.254751121975632,10.235424226897958,10.204740813160347,10.162529627129294,10.109290521520697,10.046456858001086,9.976442746472365,9.902494408385916,9.829069085436497,9.759265353283057,9.69369001731385,9.629107689041414,9.559678982434933,9.477754560774999,9.378241584970189,9.263329967698915,9.144484172140865,9.036344096541821,8.943237229641921,8.85210673190964,8.746922345364977,8.630512538596728,8.519828607988458,8.417718590795777,8.31219612650066,8.204254262795143,8.100561683786205,7.998544338023124,7.8982461053831114,7.800789273716761,7.705970352343014,7.613970576033797,7.52468392869824,7.437879186550761,7.3531588242712695,7.269969254925286,7.187611054744287,7.105258272978007,7.02198729655683,6.936815936478244,6.848749954896141,6.756834857798944,6.66021017917972,6.558161298162433,6.450165453263434,6.3359259859932395,6.215389587450152,6.088740454353197,5.9563669785199975,5.818800304201611,5.676631927896232,5.530427294190521,5.380657664436527,5.227665777812137,5.071664485329736,4.912759046111953,4.750988668519471,4.586374642133875,4.418943130952679,4.24871422608196,4.075696377187458,3.8999104931678215,3.7213835229062013,3.540114942300478,3.356116820665435,3.1694268878520684,2.980079008014212
