z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,As,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.30479120971119267,0.061343227628304284,0.0,0.8115985418312517,0.9401927391442492,1.065451115646074,2.1e-09,-1.1551767630240022,0.0,0.0,8.159846219075916,8.246838666418178,8.333555353980415,8.419899535820509,8.505786836885903,8.591139961673075,8.675881660583695,8.759936216150402,8.843232189829484,8.92569879062998,9.007264392812075,9.087843775711843,9.167339549326329,9.24565363586379,9.322680708789731,9.398288920991096,9.472344095500475,9.544684962231832,9.61513665589321,9.683502240425549,9.749563886309017,9.813074554650075,9.873755442213612,9.931289624687011,9.985315677000454,10.035420607184289,10.081130168173923,10.121899552790719,10.157103914532636,10.186030057704322,10.20786867727585,10.221717217691207,10.226590164040989,10.221455379889537,10.205304926341519,10.17727601210588,10.136833267643388,10.084017945347364,10.019753073400768,9.946144271873276,9.866402392539419,9.785110341633537,9.707034777355227,9.635300481472019,9.569031911793548,9.503565747383842,9.430877402154945,9.341772520223968,9.232727106581903,9.109575050696508,8.988104060357816,8.883500935236082,8.793862750418022,8.699889281108481,8.588090935705063,8.469885573451895,8.362456940567544,8.260426555928598,8.15289094824419,8.046055837910512,7.943562359052742,7.842166009620453,7.743235587665162,7.647047824473198,7.553530211478408,7.46269119562453,7.374307598860427,7.2880118855218,7.203272382483579,7.119408012582565,7.0356099860254755,6.950971317625918,6.864523467820948,6.7752798674874235,6.682284854879595,6.584667677533607,6.481696506591977,6.372826143184303,6.257734391258586,6.136340471668456,6.008800786535905,5.87547767590626,5.736880872661025,5.593588382731585,5.446162358262483,5.295080957009475,5.140701811008995,4.983257228875061,4.82287123758343,4.659595348680944,4.493457197951495,4.324490053188894,4.152724755682968,3.9781772340465604,3.8008666720905127,3.620820371516246,3.438043151247718,3.25254713590545,3.0643749660480144,2.8735631574401377
0.0,0.23777568795041043,0.052988285352429984,0.0,0.5538208833652588,1.0018441895515555,0.6284094245651468,2.1e-09,-1.1065045916988008,0.0,0.0,8.237454199181878,8.326971131463536,8.4157715876133,8.50373236569968,8.590731856453575,8.676652154349615,8.761375876124848,8.844785114021283,8.926754245709011,9.007151746255444,9.08584593080094,9.162699318831494,9.237552606698406,9.310241326256481,9.380600355728323,9.448444948520708,9.513567200329781,9.57575780158219,9.634800681545093,9.690449893103928,9.74244391796194,9.790497999721637,9.834298972418383,9.873498891345848,9.90770675335268,9.936479079965423,9.9593092022196,9.975614765444291,9.984724683665016,9.985866474562268,9.978158668641615,9.960607808648577,9.93212349011388,9.891557781242591,9.837789335396122,9.76987855023276,9.687319935159161,9.59043203933086,9.480899244346281,9.36238083117154,9.238917164363535,9.121169040977662,9.01746068694336,8.928996153832411,8.853780020849973,8.785717172592275,8.710046209643568,8.597833112405056,8.442261800532373,8.257042039288562,8.076671797862826,7.939638476976937,7.847348410709443,7.746142197580443,7.590697263766163,7.410225769957141,7.267678431621663,7.150104153394637,7.005688246569061,6.8545322910265805,6.722743975501115,6.586295942482325,6.451576415228114,6.321981636112794,6.194553120989314,6.071253035085299,5.951713107801003,5.836227005785251,5.724789502844589,5.6173067108067976,5.513552755497104,5.413162927184814,5.315633545891612,5.220327745775516,5.126486396241913,5.033247571472066,4.939673003321059,4.8447797923664115,4.747578017443343,4.647111539312109,4.542500715508794,4.432983769515909,4.317953492498681,4.196985333427472,4.069852753343059,3.936526311100247,3.797154856587868,3.6520305720773503,3.5015434008777215,3.346132724432503,3.1862435728877956,3.0222917965381453,2.8546398404716777,2.683583899503793,2.509353837543006,2.3321265462729484,2.1520491153240733,1.969262479054231,1.7839141068500302,1.5961533588623933
0.0,0.32171958398227646,0.03563479845838079,0.0,0.7144272143790549,0.9881294035431516,1.0857547814248039,2.1e-09,-1.2067350615499466,0.0,0.0,8.011099763175737,8.102457798976387,8.19346768174813,8.284015600383484,8.373987916205037,8.46328242279582,8.551814348191893,8.639500331731035,8.726256647261398,8.811997006092252,8.896633743221647,8.98007898078147,9.062235469993462,9.142983700078208,9.222200545849603,9.299756344467669,9.375507245415768,9.44927860207009,9.52089196652338,9.590146782687132,9.656823539656893,9.720678521741414,9.781441186240055,9.838808855012296,9.892442429824841,9.941960164220783,9.986931524064985,10.026869770168293,10.061226605892875,10.089386997627951,10.110669581923228,10.124333956952844,10.129602255321192,10.125704385759926,10.111951387923638,10.087851698689976,10.053271383762473,10.008631982557047,9.955115173031855,9.894796273548295,9.829605621274046,9.763313265614112,9.698603451656007,9.635164136024498,9.571004340695003,9.500933258640147,9.420516026822245,9.325258907557188,9.21704782577128,9.106571897805477,9.003821284332975,8.910455606269226,8.81753498228669,8.713503241370404,8.601058069312243,8.493232892024405,8.390857065072064,8.285751717193275,8.179291188268945,8.0759200901459,7.974025104977868,7.873869023559811,7.77624550256507,7.681141011728253,7.588715875708815,7.4989085823755435,7.4115211951882625,7.326192298237301,7.242401489229356,7.1594784351372684,7.076621451126313,6.992925660148402,6.90742060990923,6.819115459512172,6.727050104439804,6.630349471072723,6.528276576593808,6.4202803421472225,6.306032733461442,6.185449884916198,6.058691086483222,5.926130051935123,5.788295965958669,5.645789827030379,5.499193136412428,5.34899342643288,5.19554489693123,5.039065595322793,4.879663732627432,4.717385332637353,4.5522598857751895,4.3843141537183055,4.213560340411577,4.039999311411082,3.863650008174929,3.684544643428492,3.5027021647890626,3.318149082021503,3.1309208702714963,2.9410558203292743
0.0,0.28947360581187276,0.06376705509390895,0.0,0.7056891480761658,0.9210588410996111,0.801006911335533,2.1e-09,-0.7754113808255155,0.0,0.0,8.17119949263194,8.250687556765154,8.329669041845074,8.408216552641216,8.48640247167796,8.564264149610759,8.641762365830273,8.71884776658213,8.7954676568165,8.871524140663569,8.946886680736608,9.021423973365799,9.09499705199972,9.167440006922705,9.23858090203883,9.308247709695323,9.376271159347658,9.442398195404978,9.506444112758249,9.568184517061953,9.627365052857355,9.68370973476068,9.736914667635029,9.786642652114383,9.83251482516395,9.874103346554543,9.91092146586993,9.942412994732509,9.96794284574936,9.986786774385848,9.998123356380301,10.001033722297585,9.994511956754309,9.977495136114934,9.948930590965087,9.907892405865006,9.853767218985217,9.786529157615508,9.707105449873616,9.617790337990787,9.521909957716591,9.425356949846549,9.334843447254194,9.254359237570421,9.18396391328893,9.11757907104809,9.044965267711165,8.950578556753378,8.825268391818199,8.676672634168524,8.526456995435936,8.400181595580367,8.303954920627167,8.20824320775944,8.080443668411442,7.932816462082664,7.80402891728079,7.69377500010774,7.570358541123261,7.440962695522003,7.323294922947291,7.205150910964435,7.08838715499977,6.975949138414267,6.866144114372812,6.760021633789276,6.65738257527407,6.558240809022418,6.462380546062943,6.369451000101164,6.2789510128729855,6.19023599924348,6.1025306758902795,6.01495061915215,5.926531212924581,5.836265480713218,5.743149224784327,5.646229746854255,5.5446575788206225,5.4377361244206135,5.324965566753675,5.206074208732373,5.081030188845319,4.9500265873088205,4.813436615944906,4.671743492344893,4.525459754411451,4.3750577241336615,4.2209299713124295,4.063384663643799,3.9026636506927015,3.738963486512246,3.5724458761007662,3.4032352780656923,3.231408255271355,3.0569902870916756,2.8799874355304937,2.7004394762959834,2.5184205616804185,2.3339773803473434
0.0,0.1688354695775299,0.05615003615863179,0.0,0.843028857649023,1.0097034657837574,0.797950082765126,2.1e-09,-1.1300518400499315,0.0,0.0,8.625514120318213,8.717413749630737,8.808690545499333,8.899228661657578,8.98892772236776,9.077690044945822,9.16541780637668,9.25201064292008,9.337365870821786,9.421380696463729,9.503946628422343,9.584929035608615,9.664185715752511,9.741573780738053,9.816930761115149,9.890067329511835,9.96077162124694,10.028820819490516,10.093964205767831,10.155916527346536,10.214357428148203,10.268922532716802,10.319194663583788,10.364693567436156,10.404863493861603,10.43905888289191,10.466530189661315,10.486407298782199,10.497686242716984,10.499220822958904,10.489724863975507,10.467797102814554,10.43198509103813,10.380916042785074,10.313520807004771,10.229394069443112,10.129331720076083,10.01598639509979,9.893938141037465,9.772174924246771,9.661294877891367,9.569214666201928,9.498701243182081,9.443700972367935,9.386024291515946,9.300684737972425,9.17000489873714,8.995352959401469,8.805274820080923,8.651118193112106,8.557740406753291,8.485010262709972,8.364007892752763,8.189533459219698,8.035696573859116,7.931839409558044,7.813130165975503,7.665853465847713,7.542075019750768,7.422093194116303,7.295901150431911,7.178608243633017,7.0622301948804065,6.950286251602632,6.84185627501362,6.737361343167066,6.636635555035826,6.539510502614127,6.445659675454472,6.354625246017392,6.265817691443846,6.178521633540278,6.091905721586361,6.005042058416785,5.916939552269659,5.826582832168736,5.732977896533672,5.635198151384274,5.532431440744026,5.424024146641458,5.309519345986268,5.188683061144458,5.061512222652425,4.928218749142561,4.789187339091375,4.64491103074378,4.495916342469256,4.34269523120471,4.1856607289532635,4.025135740626686,3.861371546547222,3.6945793288411775,3.5249525143802067,3.3526661098431116,3.1778585009316593,3.0006118131162527,2.820946443326418,2.6388544800521596,2.454369948303996,2.267587858702975
0.0,0.34512447032735116,0.05367560756635983,0.0,0.6851197462374063,0.9979200024307745,0.9725600721078727,2.1e-09,-0.9631063633513692,0.0,0.0,7.736138402127743,7.826313283197128,7.916130904535323,8.005556398815441,8.094554412895615,8.183085605539494,8.271088442156978,8.358493656057135,8.445231764751837,8.531221523683504,8.616362117497243,8.70055077720228,8.783682340922127,8.86563004277618,8.946255020892087,9.025417934346223,9.102968264937967,9.178728312609957,9.25251829943261,9.324137815792447,9.393366761559136,9.459963364751797,9.523660133616493,9.584159438255528,9.641127806487761,9.694189484042347,9.742919414488396,9.786834471174023,9.825386092494623,9.857951803752396,9.883830141865756,9.9022401827205,9.912329130086459,9.913200102743785,9.903965320223975,9.883837571396421,9.85227755333043,9.809197168266381,9.755218219636927,9.691945428902818,9.62196123297121,9.548490099007408,9.476545560169177,9.409227594136148,9.346475896028354,9.284515857148362,9.216850378556002,9.135843177200243,9.034399028087412,8.916033192328,8.79521760274946,8.686718862903144,8.594047140588714,8.503199118695814,8.39540869128549,8.27542178177324,8.162906276799566,8.059781501637172,7.951861449782275,7.841096207875841,7.735157881042769,7.630547468920188,7.5274937038774965,7.427286338282928,7.329632727613491,7.234801592085621,7.142718414797327,7.053205625772221,6.965918195581644,6.880355735572657,6.7958696011867765,6.711679653764739,6.626900277180214,6.540576511357716,6.451727973619721,6.359399049551729,6.262712621908644,6.160922490521921,6.053461041022969,5.939976079452661,5.820351455432926,5.694705415767073,5.5633625469625345,5.426798884927593,5.285566681851712,5.140213460883019,4.9912148081163945,4.838936082280069,4.6836243490192055,4.525420749971157,4.364388659839827,4.200556867938129,4.033955115689018,3.864614411635378,3.692549153711751,3.5177664781260907,3.340292076103335,3.160150786316851,2.977357369017748,2.7919480295164183
0.0,0.30222794039807055,0.04297446008575155,0.0,0.6540357984401414,0.9383908437864039,0.8323340929886873,2.1e-09,-0.8248153449151756,0.0,0.0,8.156066212078992,8.23765042443682,8.318732440969898,8.39933179593296,8.479457659045384,8.559118241296499,8.638282610739104,8.716867668138587,8.794786669376789,8.871947577336256,8.94822033673268,9.023458167413976,9.097514107515334,9.170234191224395,9.24144992372465,9.310990856270912,9.378670957150318,9.444250084861677,9.507543697320084,9.568325994217705,9.62635023056662,9.681350113078935,9.733035320562113,9.781087474585664,9.825153477371641,9.864838395573592,9.899699959321659,9.92923880617872,9.95289256573903,9.970029338930505,9.979945353539845,9.98187000304051,9.974982448624472,9.958451041848285,9.931502141608961,9.893535434788062,9.844292954284509,9.78409265710707,9.71410930624541,9.636622819251746,9.554109675123588,9.471329545862853,9.392854835257081,9.319496389885973,9.248285285676547,9.17667877260233,9.092196987471699,8.986745481642304,8.860224572865336,8.72396153988736,8.594728585206,8.485181342472314,8.386345075632347,8.274406783376982,8.140656027217675,8.007426634360693,7.890455307705759,7.774267709326183,7.648821380702717,7.527642540945116,7.411057604309787,7.294172270943715,7.180805149255846,7.070289588299401,6.963022855575553,6.859190982192854,6.758830023465098,6.661846537316101,6.568000449204515,6.476896914776708,6.387989016240909,6.3005861162251655,6.213871367242248,6.1269270387698,6.0387672058339135,5.948378530005221,5.854766799400959,5.757007877288006,5.654299909433347,5.546012603737811,5.431728002872046,5.311265826934069,5.184685737130862,5.052260469124224,4.914419254424273,4.771670554426569,4.62452312205779,4.473427590590447,4.318751809904041,4.160785622170502,3.9997574601355548,3.835846345577113,3.669183429257027,3.499846371151845,3.3278627656517994,3.153244935062106,2.976035103568865,2.7962991341443533,2.6140743488945857,2.429357716093834
0.0,0.30721286105539075,0.035889662473806365,0.0,0.7558253084948441,0.9936896579660939,1.0385402668927608,2.1e-09,-0.8297055343745718,0.0,0.0,7.930381224873252,8.017776691816476,8.10473429539396,8.191306269158932,8.277532061459272,8.36339086722391,8.448844098995945,8.533852543949228,8.618348812933016,8.702225077741783,8.78537027827404,8.86767009792983,8.948985442505156,9.029165295562153,9.108058190475756,9.185501641862874,9.261327282407548,9.335316213794314,9.407288305371633,9.477025749506828,9.544289174766337,9.608818092329924,9.670326124996794,9.728496375280102,9.782975210482284,9.833367151093286,9.879226555133206,9.92005177269502,9.955279374763755,9.98427944333549,10.006358262989082,10.020765877430609,10.026722822249633,10.023466039228554,10.010331062229847,9.98687004431609,9.953019012191916,9.909301758430585,9.857032421855374,9.79832084132185,9.73531203176064,9.672032695713645,9.610579384048073,9.550441744696549,9.488185792242266,9.418898043583807,9.337169586074213,9.239506675013624,9.12952667066984,9.019263758460532,8.919105357159449,8.828495369023296,8.735076077355927,8.627594825410013,8.51321233102201,8.406299339710491,8.304153916773917,8.19697323921376,8.089145532094014,7.985076388933862,7.881696445471174,7.780216165561186,7.681309764487942,7.584977356568342,7.4915097735508756,7.400923136438832,7.313125863063387,7.22786371759559,7.144724651156035,7.063142421322277,6.982409256068806,6.901697357627558,6.820089255369917,6.7366158615307015,6.65030191445055,6.56021659292766,6.4655260409729625,6.365544383069242,6.259778131583456,6.147958911835983,6.030058641735686,5.906281442066453,5.777027784884193,5.642830684113952,5.504272068062383,5.361897470546531,5.216151540959874,5.0673483139066455,4.91567379777347,4.761212162450449,4.603990222075235,4.444022274642091,4.2813250012588435,4.115904143399144,3.947754454529457,3.7768864046442268,3.603319330722847,3.4270569058033398,3.248118220972425,3.0665339901107735
0.0,0.17562272653510916,0.02885563848613997,0.0,0.6065853270003384,0.9206419531871383,0.6043323999350291,2.1e-09,-1.0369682448494841,0.0,0.0,9.096692945752656,9.17571563205351,9.25374436816689,9.330661481710065,9.406339020773618,9.480647471470917,9.55345654248003,9.624623398567898,9.693995044878202,9.761418189706962,9.826734515671875,9.889765488275296,9.950327475281178,10.008236385286539,10.06329234546986,10.115275767907635,10.163965786245765,10.20913675163103,10.250538492835851,10.287905136785184,10.320951821416333,10.349367130882246,10.372808212530664,10.390892816282289,10.403189788602015,10.409211084525609,10.408399946778177,10.400122391380533,10.383659994951103,10.358209560003989,10.32289463730362,10.27679604832836,10.219015798016056,10.148791848238279,10.065684042901125,9.969861133650186,9.862500078923064,9.74624713061046,9.624950541210357,9.50438592308554,9.392074075298426,9.29025681125216,9.196215793850154,9.104904852965854,9.009554653630623,8.892541981072393,8.736843042250706,8.557699230846467,8.377870737316917,8.227262372444772,8.111311524480378,7.99527527990514,7.837125980255728,7.654999692245255,7.4962833423688755,7.3610565547734454,7.208638318834317,7.0465490064265754,6.899413112927636,6.751064843212084,6.602888104791757,6.459709435298634,6.318700204121519,6.181719761282031,6.048587623572815,5.9197379407988135,5.795337052799624,5.675498080026417,5.560223362379461,5.44939599255562,5.342771275356263,5.239972245708036,5.140488815206795,5.043683088816241,4.948801203078688,4.85499081460156,4.761324971440105,4.666831087259906,4.570524583572117,4.47144564170159,4.368697193395915,4.261481614369745,4.149133156137377,4.031142843772787,3.9071725491808653,3.777055589894209,3.6407829007484658,3.4984765820038146,3.350355651639575,3.1967006976546717,3.0378236930881686,2.874046711336116,2.7056899800490384,2.533066935564237,2.3564824733880205,2.1762303568054886,1.9925870416793068,1.8058027331118536,1.616093666690804,1.4236395369834076
0.0,0.2400771875791134,0.061104095861753666,0.0,0.5559073643815827,1.009910473047424,0.6064503625226922,2.1e-09,-1.0142456148479646,0.0,0.0,8.115988480860594,8.20539229002845,8.294121030986018,8.382092711864448,8.469218074293998,8.55539277634082,8.64051059689225,8.724464013542226,8.80712904049097,8.888370374714965,8.968052480507628,9.046033087177788,9.122147434492824,9.19622605000244,9.268098664746452,9.337575281845018,9.404444953763125,9.46849565727794,9.529507433679775,9.587230293766408,9.641398257560992,9.691722204656747,9.737883397755512,9.779527420987531,9.816254888770885,9.847612860096863,9.87308102709628,9.892060434458235,9.903856915646601,9.907669215339924,9.9025751913638,9.887527394885872,9.861360478143906,9.822824402947832,9.770658852568964,9.703737831001343,9.621313424272564,9.523409387019077,9.4113864984336,9.288661244494879,9.15955831653627,9.034082666911356,8.923937912322222,8.832285304533244,8.757951169173078,8.695883531570665,8.632246353879022,8.533155819169908,8.385868828535271,8.197474625971152,8.001542319646708,7.846914691313411,7.752337711064069,7.668368546448887,7.527347609308131,7.338582440430697,7.179243311693806,7.065889477765051,6.930828861205316,6.771326132075562,6.636459700089698,6.502159823238177,6.36327056058189,6.2325312552922405,6.102676828560171,5.97721557591489,5.855301517916004,5.737468361616776,5.623696346119702,5.513972048499554,5.408137346041629,5.305900464004407,5.206830638303742,5.110361702093019,5.015800383896048,4.922341332495594,4.829090130932485,4.735090844069537,4.639360829897772,4.540929346876059,4.438879320574103,4.332388932749289,4.2207703359435955,4.103501771633085,3.980249187910991,3.8508735770308924,3.7154214700612367,3.574098694526779,3.4272311215589792,3.275219171112426,3.1184935646073004,2.9574778265276045,2.7925599023727834,2.624073273734976,2.4522881552705686,2.277414266794286,2.099615561134417,1.919033118282278,1.7358066662674245,1.5500832799623694
