z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,As,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.30479120971119267,0.061343227628304284,0.0,0.8115985418312517,0.9401927391442492,1.065451115646074,2.1e-09,-1.1551767630240022,0.0,0.0,-2.2623838083068015e-06,-3.054549205989859e-06,-4.089073081183668e-06,-5.439673166626215e-06,-7.205706164664085e-06,-9.51905554411149e-06,-1.2552418805120721e-05,-1.6531400313028282e-05,-2.175151795469757e-05,-2.8599970582760533e-05,-3.758477420310545e-05,-4.936857889572625e-05,-6.48158591583853e-05,-8.50607460175423e-05,-0.00011158895124332363,-0.00014633158529162046,-0.00019181849251320672,-0.00025133707175494007,-0.00032917138077838236,-0.00043088706937536843,-0.0005637076503482005,-0.0007369735815350109,-0.0009627260681159832,-0.0012564202586980522,-0.001637795144523176,-0.0021319249583161945,-0.0027704765416630608,-0.0035932398822198087,-0.004650016991605931,-0.006002953784939359,-0.007729181827671172,-0.009923121464999638,-0.012696269345571567,-0.016170632034039397,-0.020460710978633268,-0.025640950067882386,-0.031701405066768315,-0.03850229275667981,-0.045746793518094256,-0.05300352420463334,-0.05979412964699703,-0.06587591967902398,-0.07152374180314888,-0.07759919605495276,-0.08494920831623201,-0.09364622498290945,-0.10182704204236921,-0.1047616626155355,-0.09662300464200343,-0.07390820075683431,-0.04306872357876986,-0.023262763334838496,-0.02643923801515859,-0.03101207888088414,0.0032275860790976314,0.07628565791207476,0.12007635868521363,0.1194382779346631,0.17189753261867893,0.26435661329029053,0.2921634078729858,0.3621197778805874,0.45017818806748516,0.5095478987404615,0.611644131006785,0.6916386483179036,0.7945710762081045,0.8971017958422415,1.0015739754414135,1.1138505690884846,1.2268112226793124,1.3428582129993574,1.459455156464706,1.5752645005177466,1.6895674210787341,1.801569884035203,1.910384370295533,2.0153080506704475,2.1159312168775473,2.212104938992241,2.3039138030457416,2.39164519836123,2.475735826472981,2.556695775953708,2.6350207635247025,2.7111284438148773,2.7853190390779896,2.8577703123523786,2.928555980456383,2.9976780532258682,3.0651168563024007,3.130859190758633,3.194893181780664,3.25719542222633,3.317746680396919,3.376537981462804,3.4335385304709085,3.4887276906393736,3.5421169041271887,3.593712810057585
0.0,0.23777568795041043,0.052988285352429984,0.0,0.5538208833652588,1.0018441895515555,0.6284094245651468,2.1e-09,-1.1065045916988008,0.0,0.0,4.869323502390368e-07,5.346168022505181e-07,5.832033649575e-07,6.306075518515913e-07,6.728585094702167e-07,7.034744812533579e-07,7.128852620714521e-07,6.87424822377659e-07,6.084441351581337e-07,4.5034853697419746e-07,1.7706706376683152e-07,-2.614085665432115e-07,-9.306813825018447e-07,-1.920185190658269e-06,-3.3535147622943615e-06,-5.394442891335175e-06,-8.25655478527757e-06,-1.2228531209293147e-05,-1.769858091096001e-05,-2.5170255064255806e-05,-3.530582968692913e-05,-4.8966795842283484e-05,-6.726380953466818e-05,-9.161481329338437e-05,-0.00012381232058218076,-0.00016610887497102376,-0.00022134420165454089,-0.00029316494673143386,-0.0003864327609053834,-0.0005079439607254993,-0.0006675365286452646,-0.0008793284991495158,-0.0011622244331238496,-0.0015379019688140493,-0.00202425884366665,-0.0026237055549058544,-0.003308588121690556,-0.004009173930838917,-0.004612495783038104,-0.004985967378272159,-0.0049498724451523856,-0.0046993584867462525,-0.004705580885544177,-0.005444894759249975,-0.0075424998360594875,-0.011495171303590757,-0.016419143281121356,-0.017288066413935703,-0.009104587416504507,0.011429502777827966,0.03912185948912391,0.054417906295750045,0.04300674415683012,0.029206593932228728,0.05526305361711233,0.1224966524274899,0.1555227919540146,0.13763434586840825,0.17418929819649648,0.25527189172116516,0.2684611778000706,0.31800187976472005,0.38919621131327287,0.4326471296836864,0.5118723859038743,0.5772592777444041,0.6603649633612153,0.7454606336233689,0.8367607252636046,0.9352340361298253,1.0391546808352978,1.1483669693556073,1.2623198440382117,1.3801564080525406,1.5012322976479782,1.6246312005150925,1.7492711419632296,1.8740671076224789,1.997990397074653,2.1200478880923046,2.2393075982890647,2.3549512092239477,2.4663177161452174,2.5729310877805753,2.6745166430448633,2.7710045748591923,2.862504684684702,2.9492715355219814,3.0316581527977426,3.1100684650811066,3.1849139644964373,3.2565777228180757,3.3253918769879593,3.3916230617671763,3.455473580931965,3.5170942476706277,3.576607225142949,3.6341308389742792,3.6897903397646226,3.7437135405465964
0.0,0.32171958398227646,0.03563479845838079,0.0,0.7144272143790549,0.9881294035431516,1.0857547814248039,2.1e-09,-1.2067350615499466,0.0,0.0,-2.57556916414903e-06,-3.4786804339299265e-06,-4.653106789775744e-06,-6.180968572726902e-06,-8.171882340594863e-06,-1.0771186269552387e-05,-1.417091464686995e-05,-1.8621684960997396e-05,-2.4450276468030938e-05,-3.208294386595967e-05,-4.207704489843759e-05,-5.51631298976867e-05,-7.229600825282694e-05,-9.471621606920354e-05,-0.0001240457540062978,-0.00016240478157870255,-0.0002125579977393517,-0.00027808792321012217,-0.0003636655461888443,-0.0004753495901964783,-0.0006209924588446028,-0.0008107416044408352,-0.0010576730092442008,-0.0013785720679912034,-0.0017948987470263762,-0.0023339620248438763,-0.00303034929361935,-0.003927645018807393,-0.005080472911009932,-0.006556739585347532,-0.008439661529401989,-0.010828418860038661,-0.013835321013339496,-0.01757666126666879,-0.022154810723792107,-0.027631664723562602,-0.03399704335366451,-0.04114043141161644,-0.04884217104194168,-0.05681072388588747,-0.064671354667473,-0.07237813390518769,-0.08018552373179523,-0.08831231180295866,-0.0968425230946813,-0.10468187519176783,-0.1098599342057722,-0.10849983767961133,-0.09757311619613525,-0.08001478135730725,-0.06414774898094878,-0.05743286797467998,-0.05486059329371274,-0.03523829824324697,0.010837620831200106,0.05380548796331859,0.07272426461875438,0.10645457802316778,0.17198765390870893,0.2199810717991949,0.2710223390999416,0.34635358245001224,0.41003808379696866,0.492168786563823,0.5730277774901424,0.664853265808409,0.7593680608506632,0.8602908351893934,0.9657594026914214,1.0746852719090032,1.186482840112104,1.3000816757884146,1.4142945765557566,1.5280970349659317,1.6404387053689655,1.7503220356618259,1.8569027943088836,1.9595433855346684,2.057831722800871,2.1516031925618,2.2409376074212295,2.3261343778868704,2.4076511536728677,2.486022569176554,2.561769752452589,2.6353209027636284,2.7069728262592023,2.776887299299864,2.845121941325526,2.911674770525339,2.976529777821554,3.0396707726020558,3.101067869231273,3.16068162976291,3.218491720579787,3.2744957825674232,3.3286800148793727,3.3810389926522024,3.431576989117534,3.4803023656237166
0.0,0.28947360581187276,0.06376705509390895,0.0,0.7056891480761658,0.9210588410996111,0.801006911335533,2.1e-09,-0.7754113808255155,0.0,0.0,-1.968925807493562e-07,-1.95427386495789e-07,-2.3342459158779347e-07,-3.3012709863775616e-07,-5.085134350898665e-07,-7.971715840724586e-07,-1.2303791912743037e-06,-1.8566580967888936e-06,-2.7458906437215745e-06,-3.990296157086454e-06,-5.710803815825679e-06,-8.071327897953433e-06,-1.1291726498574042e-05,-1.5658992139404115e-05,-2.155389466450961e-05,-2.9484661331289594e-05,-4.0132735365813335e-05,-5.4345060637330364e-05,-7.329327774089737e-05,-9.849862396772503e-05,-0.00013193686266289119,-0.00017617811114566898,-0.00023454703099277913,-0.00031132018028847937,-0.0004119596627142467,-0.0005434014643135876,-0.0007144157222597871,-0.0009360966751094914,-0.0012225942419791585,-0.0015922275928209062,-0.0020690934455275312,-0.002685002217585842,-0.0034807690840138383,-0.004504682018841049,-0.0058052066634154955,-0.007415893822768454,-0.009333936317904995,-0.011497962993343155,-0.013773744036261141,-0.015961850804121467,-0.017805597133175814,-0.019211404537439126,-0.020445047091356836,-0.02210440915347717,-0.025012683844096648,-0.029468940002927557,-0.03458391939299654,-0.03640720313145829,-0.029079612874868224,-0.008996933405041443,0.019981179739074758,0.041117216587043995,0.03762775192294913,0.025958895636930563,0.04913453587070941,0.11774014885945105,0.16682990006818935,0.15804063113827252,0.1915349293345782,0.2867088897304919,0.3124700659397458,0.3614307827496282,0.45435914916496173,0.49869347325554586,0.5975766574959775,0.6676028468585167,0.7680214457435395,0.8623047621346176,0.9649817617584393,1.0756277638238958,1.1894318968260695,1.307945178648103,1.429637519349965,1.55364778448994,1.6789321665030557,1.8043881409803337,1.9289232804506609,2.0515002107256812,2.1711900581800982,2.2872228059674127,2.3990281520023293,2.5062714347241344,2.6088591947690705,2.7069230788937886,2.800775115689502,2.890842883269404,2.9775899128378893,3.0614403135182497,3.142739670491487,3.2217499258656934,3.298671251001837,3.3736608774002748,3.44684220821371,3.5183026599955878,3.588083019125197,3.656176803551364,3.7225590623314546,3.7872402389045474,3.850266087475458,3.911656048413122
0.0,0.1688354695775299,0.05615003615863179,0.0,0.843028857649023,1.0097034657837574,0.797950082765126,2.1e-09,-1.1300518400499315,0.0,0.0,1.1377091421251992e-07,1.5977126275883131e-09,-1.5244431557763331e-07,-3.63021309402403e-07,-6.528294159004802e-07,-1.0537608365722557e-06,-1.6087939043497133e-06,-2.3748348950208524e-06,-3.4273697064999125e-06,-4.867699129811874e-06,-6.831482281609422e-06,-9.49487044829804e-06,-1.3091953261288943e-05,-1.7937792743328377e-05,-2.4448535192300644e-05,-3.316840385524278e-05,-4.481002372533655e-05,-6.031619973323143e-05,-8.091821922307292e-05,-0.00010821208666606842,-0.00014425924955264663,-0.00019169863839700894,-0.0002538784262973088,-0.0003350125831361286,-0.00044038205608754836,-0.0005766371213401295,-0.0007523321757024959,-0.000978895960229888,-0.0012723131827676762,-0.0016555894635768658,-0.0021613383291427656,-0.0028323957401572117,-0.003716841281440903,-0.004854169465914021,-0.0062529511770130185,-0.007865968932812363,-0.009572856868505956,-0.011182608446280624,-0.012449846537256361,-0.013325362545695127,-0.014166166760186621,-0.01582322148913616,-0.019595997796417852,-0.026487146324189928,-0.03551316867072068,-0.042532975200075936,-0.040850595836794,-0.02314101877120311,0.011375682285565446,0.040938626187880335,0.03364391736795113,0.000551221723928824,0.0018474636799145753,0.07745067530601087,0.15505462300484668,0.12629130097275512,0.11711158400346156,0.23769766424199804,0.27172270435125123,0.27065920138727123,0.39590929394618835,0.4085592761882432,0.5125822363058746,0.5644434165070179,0.6686952459909353,0.74351014899202,0.8441202596599204,0.9486804977436991,1.0513036088953664,1.16487210423429,1.2836212243198244,1.4039968321457301,1.5262441527226498,1.6504567170470106,1.7754819651444853,1.899900552936786,2.0225773411330388,2.142607263704942,2.2591635631716436,2.3715171452096975,2.479135732606437,2.5817338227202877,2.6792631601528645,2.7718886825265083,2.8599468137325763,2.9438846931581684,3.0241874334208165,3.1013068885397583,3.1756202390327415,3.2474159499738735,3.3169112747379934,3.384283731180125,3.4496944789628214,3.5132893315438167,3.5751782430296353,3.635417119955554,3.69400106137647,3.7508981635879755,3.8061197858664664,3.8597390141234618
0.0,0.34512447032735116,0.05367560756635983,0.0,0.6851197462374063,0.9979200024307745,0.9725600721078727,2.1e-09,-0.9631063633513692,0.0,0.0,-1.5652601099691494e-06,-2.04606206907448e-06,-2.6893483321055986e-06,-3.5470651263682516e-06,-4.686749862894719e-06,-6.1970381162897555e-06,-8.192973878050969e-06,-1.0825794114726704e-05,-1.4295716688437366e-05,-1.8865551443336784e-05,-2.4877556454565415e-05,-3.278164174575659e-05,-4.316968862224018e-05,-5.6812160770938016e-05,-7.471478185471337e-05,-9.819743845839829e-05,-0.00012898583111171886,-0.00016931969702921383,-0.0002221286219585207,-0.0002912210062060219,-0.00038154196484747904,-0.0004994991427929031,-0.0006533702380475293,-0.0008538106087765663,-0.0011144773490455665,-0.001452792390747604,-0.0018908757518553852,-0.002456688258900908,-0.0031854642922041726,-0.004121486538993306,-0.005320191160064287,-0.006850212529448268,-0.008794157102584237,-0.011245774917928362,-0.014300165692603391,-0.01803439804626918,-0.02247922334331313,-0.027586817895696076,-0.03320492925077255,-0.03907574170807235,-0.044871688949259594,-0.05028499246469297,-0.05544124051860604,-0.06082012110544115,-0.06703600359939646,-0.07425013810657713,-0.08150629076777563,-0.08606613095502887,-0.08261785244577935,-0.06756758528215172,-0.04444310008306115,-0.025083686337791174,-0.021534309980891855,-0.026212810477647792,-0.007072174524912136,0.04799810895367775,0.09706555991374456,0.1054558385120266,0.1350468806596636,0.21269515184965415,0.255398883809923,0.3011737759534929,0.3849150352687082,0.4405885432955983,0.5277696205767457,0.6042964179007736,0.6984443595991779,0.7908545756720173,0.8914834552845288,0.9969042476068468,1.1054080854827197,1.217083048790493,1.330492272118412,1.444767909715781,1.5588933300742258,1.671749401550221,1.7823142657979232,1.889762183044818,1.993454917572968,2.0929589905603514,2.1880728529592637,2.2788386445501296,2.365514272832131,2.4485105041035955,2.5283167273448335,2.6054187453115176,2.680235461676852,2.753077701778991,2.8241413158275104,2.8935193893989517,2.9612286102288228,3.027253907561646,3.0915821378624466,3.1542049126455862,3.215098636735551,3.2742346475786928,3.3316048056063936,3.3872012078701372,3.4410080426805356,3.493031579161955
0.0,0.30222794039807055,0.04297446008575155,0.0,0.6540357984401414,0.9383908437864039,0.8323340929886873,2.1e-09,-0.8248153449151756,0.0,0.0,-3.4830448274000125e-07,-4.1321553456445623e-07,-5.34411002917717e-07,-7.348218819844224e-07,-1.0417053556510297e-06,-1.4912505329730161e-06,-2.1308954303910628e-06,-3.021766483108267e-06,-4.248321879166282e-06,-5.926449085004272e-06,-8.206919132110485e-06,-1.128819036645465e-05,-1.543526369254532e-05,-2.0999667127604824e-05,-2.8443777773329318e-05,-3.83812973585319e-05,-5.161818452669165e-05,-6.917809693755699e-05,-9.245421752168821e-05,-0.00012324798048272295,-0.00016390223158506805,-0.00021745921275839633,-0.0002878526372547975,-0.00038014756436889244,-0.0005008327134915918,-0.0006581840771468631,-0.0008627399880976633,-0.0011279223175125256,-0.001470910274037958,-0.0019138208919670665,-0.0024851515800910122,-0.003221058046654544,-0.004165350856704806,-0.005366458749498398,-0.006869599214462905,-0.008704020227251894,-0.010867449363437833,-0.01331219993413469,-0.015939834152942783,-0.01861618676259803,-0.021150651426677436,-0.023542881336531853,-0.02606604164491549,-0.02903093855443684,-0.03255808977721936,-0.03697815105786273,-0.04001374912204261,-0.038267690280168715,-0.028308364407871864,-0.010160543643338031,0.009815719681560307,0.019360469629387922,0.017398963815681595,0.02475012970025237,0.06387642773595903,0.11583955791401913,0.137530713443541,0.1516833075976984,0.21190284125418501,0.2707751028102461,0.30419562679885603,0.3775127130197199,0.4399448568883845,0.5121465247457104,0.5925423335703406,0.6784698393440505,0.7699583044008576,0.8696230073651215,0.9738793357150862,1.0837308678463997,1.198482614747274,1.3170923730117536,1.4386403972887083,1.5621635925935913,1.6866019217549912,1.8108290711714745,1.9337449790664736,2.054347893146932,2.17176346329273,2.28528720490459,2.394426263152515,2.498931908439018,2.5988036420190883,2.694255224687466,2.785659058147864,2.8734675808627546,2.9581370401484843,3.0400676271396225,3.1195799921857628,3.1969213086678647,3.2722782960816383,3.345790546624093,3.4175504794554734,3.48759888522609,3.5559276903023034,3.622516038680682,3.687376790762315,3.7505469091708092,3.8120353814510586,3.871811175717995
0.0,0.30721286105539075,0.035889662473806365,0.0,0.7558253084948441,0.9936896579660939,1.0385402668927608,2.1e-09,-0.8297055343745718,0.0,0.0,-2.426230422441099e-06,-3.0530064144913117e-06,-3.904068839951212e-06,-5.054147800121087e-06,-6.597380496872934e-06,-8.650762975410568e-06,-1.136709101715789e-05,-1.4950865832069956e-05,-1.967113161958608e-05,-2.5876591933131374e-05,-3.402630128732395e-05,-4.472432992158667e-05,-5.87561198805686e-05,-7.714628570181256e-05,-0.00010123749983973372,-0.00013278250814402227,-0.0001740728240094835,-0.00022805396030699468,-0.0002986125417185321,-0.0003907754266367689,-0.0005110539462853261,-0.0006678680162554372,-0.0008720714720274597,-0.0011376069016419625,-0.0014823122695148726,-0.0019289229936559377,-0.0025062999658893195,-0.003250962156924783,-0.00420895735100439,-0.005437991339742396,-0.007009448535740895,-0.009009180722018853,-0.011535223150032236,-0.014689915507980534,-0.0185648616830796,-0.023218990845179862,-0.02865310465576636,-0.03478750725933323,-0.041455765256203314,-0.048427386695054156,-0.055418075610765526,-0.06246783945269339,-0.06979193906852466,-0.07761875187382629,-0.0857378468554655,-0.09314599470657162,-0.09753743452431775,-0.09534995578994608,-0.08435581960474237,-0.06827698576850463,-0.05595733723902105,-0.052996798985801744,-0.050257457270497866,-0.0266764498835153,0.019261381065270842,0.05407799583306216,0.06823855826059659,0.10790026109147169,0.1713871002032128,0.20992196506206964,0.2656493836144325,0.3360731850308892,0.3972927954671924,0.4785697231872654,0.5568472005533965,0.647019989878961,0.7408966451000591,0.8405407214966403,0.9458919374802792,1.0555141698287247,1.168565842723964,1.2843475618038325,1.4017648944392003,1.5196780193183117,1.6370189470906262,1.7527772603036953,1.866025261476888,1.9759747227211917,2.0820385006961795,2.1838702089337896,2.281365933183528,2.3746573049999657,2.4640736660617066,2.5500809302679928,2.6331983146394116,2.7139102435187015,2.7926048814106483,2.8695411042127854,2.944854172829113,3.0185804843706645,3.0907004510098752,3.1611845709064568,3.2300065882566047,3.297132987807304,3.3625208140084784,3.426144678568673,3.487990291418701,3.548028416538884,3.606247440723034,3.6626480643499306
0.0,0.17562272653510916,0.02885563848613997,0.0,0.6065853270003384,0.9206419531871383,0.6043323999350291,2.1e-09,-1.0369682448494841,0.0,0.0,8.658209178385115e-07,1.0054650204693663e-06,1.1625370372378029e-06,1.3379769945011605e-06,1.5325469753678776e-06,1.7460845832946436e-06,1.9766753602067498e-06,2.220718482889745e-06,2.4721432479183517e-06,2.720037869564708e-06,2.9468814086949075e-06,3.1289319516175283e-06,3.2313125779725866e-06,3.2018528870102754e-06,2.9690556921276067e-06,2.438503917703023e-06,1.4774723281460213e-06,-9.878604544923938e-08,-2.531387918470003e-06,-6.139368796304135e-06,-1.1340090918653806e-05,-1.866855047530391e-05,-2.8802847319037823e-05,-4.259503299416194e-05,-6.112058374478538e-05,-8.578417223200118e-05,-0.00011852542317444726,-0.00016221251857847295,-0.00022125551959121655,-0.0003023171249112007,-0.0004146121757267625,-0.0005687751129774879,-0.0007731232513194778,-0.0010269444175389488,-0.0013122200189949148,-0.0015871860080417844,-0.0017867426860663992,-0.00183755369870619,-0.0016767851892432663,-0.0013444019951301003,-0.0011373518540220885,-0.0013804308420525028,-0.0023074448079051864,-0.004055097811346448,-0.006485408112694022,-0.007404530374293537,-0.0023017706666435683,0.010160076458305101,0.028189942350901408,0.04172145827085237,0.04136182358341511,0.03665147730584926,0.054852452170821776,0.09921232508120058,0.13136424423096432,0.13252553373250017,0.1581604070323728,0.21648723718026233,0.24416057806826044,0.2836417706259406,0.343393146229257,0.390297012847669,0.4567217022064502,0.5210282937435223,0.5963730535336147,0.6762641495953697,0.7632879313148793,0.8570843187260552,0.9573298444584677,1.0640285776832625,1.1768723539463968,1.2952889974788897,1.4186643675903607,1.546362192981558,1.6775837858606784,1.8113938296241676,1.9467880490841405,2.0827320618055105,2.2181831330629573,2.35213397284429,2.483644639939567,2.611871114082319,2.736096909187199,2.8557649737721,2.9704995507392526,3.0800986528113654,3.1845178322053296,3.28384376660566,3.3782612595183927,3.468018911389429,3.5533974002685023,3.6346900683341006,3.712189384954427,3.7861826726815586,3.8569503541257046,3.924762465785819,3.9898736483492323,4.052512787143726,4.112876270688236,4.171124750099789
0.0,0.2400771875791134,0.061104095861753666,0.0,0.5559073643815827,1.009910473047424,0.6064503625226922,2.1e-09,-1.0142456148479646,0.0,0.0,4.211345835688451e-07,4.836718226413955e-07,5.478422282855679e-07,6.110918000741362e-07,6.698464082588971e-07,7.193417645545953e-07,7.522945325800085e-07,7.575408992906621e-07,7.197368171496377e-07,6.177217437026054e-07,4.211038035366279e-07,8.742327235242256e-08,-4.3902035473870446e-07,-1.2345622382316142e-06,-2.4051223044897943e-06,-4.091067926304991e-06,-6.4762512969947035e-06,-9.81027547472959e-06,-1.4429300578285591e-05,-2.07696042499503e-05,-2.9405810380468558e-05,-4.108669984909565e-05,-5.677739627591246e-05,-7.77090315392224e-05,-0.00010543268183483633,-0.00014188875864066438,-0.00018949975412548998,-0.00025134722018492863,-0.00033150458237122464,-0.0004356874295514571,-0.000572310042913115,-0.0007538637637875982,-0.0009978796097584706,-0.0013258099435203108,-0.0017574885067038245,-0.002299780784530745,-0.0029308797262375115,-0.0035853970563610653,-0.004148100470462573,-0.004470252201996235,-0.004352650496433691,-0.003856281207244326,-0.0034912840549174455,-0.003805974439280065,-0.005519719192903692,-0.00940198119693932,-0.015153643948631022,-0.018014370124255392,-0.012791297867810894,0.005556080037692702,0.03528383763772959,0.05771348926054124,0.04994063947447916,0.027351004486765005,0.038684435503855405,0.10475917013348372,0.15875020557781608,0.1375208115412607,0.14669471983526935,0.23918511988825025,0.263831096297504,0.28551037454732886,0.373064335713476,0.4037261396989579,0.48438732456704237,0.5430350013705315,0.6266446090894606,0.70499649932204,0.7945117017424576,0.8900109909864239,0.9906111820746824,1.0968390190688535,1.208276249649268,1.3241106487015901,1.4435706491034626,1.5657794503950015,1.6897745158701365,1.8145346119326071,1.939015555029319,2.062187492736608,2.183082968301569,2.300831805189271,2.4146952852128174,2.52409890743696,2.6286599777028563,2.7281996584373074,2.8227257723420367,2.9124054003591278,2.9975257322607787,3.078451063673775,3.1555790052095154,3.229301018672499,3.2999760278823564,3.3679091370037404,3.433341990989687,3.496455637940526,3.557387971124965,3.616258862127931,3.673187222084159,3.7282985213853648
