z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.2595,0.0419,0.0,0.606,0.9335,0.713,-1.0,0.0,0.0,4.988874545813528e-07,5.658610029383278e-07,6.27753769105125e-07,6.78246753233988e-07,7.093386060710982e-07,7.096311169899979e-07,6.623311730567902e-07,5.442841410718677e-07,3.237697267956918e-07,-4.407676376654491e-08,-6.215910571905001e-07,-1.491145884971021e-06,-2.76457562291915e-06,-4.595309188922438e-06,-7.187689687258399e-06,-1.0809920396863834e-05,-1.582293543456855e-05,-2.271068249970054e-05,-3.210545318979395e-05,-4.4840391431649895e-05,-6.200738411198873e-05,-8.502654323711348e-05,-0.00011573331170273384,-0.00015648463837910075,-0.00021028449743930593,-0.000280951306852611,-0.0003733485334229701,-0.0004937404891619406,-0.0006503618416894928,-0.0008542758494925013,-0.0011204666341255885,-0.0014687205293325133,-0.0019232109365732992,-0.0025091821557599978,-0.0032454927266530797,-0.004133596682106545,-0.005145988540280409,-0.0062190963648316175,-0.007258129524873816,-0.008164046512913236,-0.008789495899109507,-0.009354473969123561,-0.010249653751968171,-0.011842262794721753,-0.014084643697100165,-0.016859966156889773,-0.018877631732572453,-0.015032142174711135,-0.00218976605348194,0.018464382746222873,0.03863033549115435,0.04458331059042374,0.038753444977757956,0.04836659706968652,0.09265818990109106,0.14328070889413974,0.15431793504984292,0.16863770014259016,0.23427610689487582,0.2833070390903321,0.3151126464388584,0.38948615188429103,0.44399179950556794,0.5172456007287678,0.5915049062725085,0.6759838043546954,0.7637678982135635,0.8603175430315027,0.9622399781522043,1.0699326399602183,1.183146377001839,1.3010963737915224,1.4228273358776888,1.5475451778356026,1.6743244920855747,1.8020637648507896,1.9296212176520886,2.0559176669393757,2.179949212599079,2.3008012247352556,2.4176920694167743,2.5300270280289605,2.6374346911628264,2.739770516506094,2.837109116022956,2.9297099157717836,3.017963086435445,3.1023248915000057,3.1832519176145553,3.26115203732788,3.3363529190659382,3.409098794298908,3.4795657172297765,3.54788848538945,3.6141887736185963,3.6785884978672057,3.7412067309838637,3.8021366152199447,3.8614234953923527,3.919064901940152
0.0,0.2215,0.0403,0.0,0.518,0.9295,0.739,-1.0,0.0,0.0,6.854479319732674e-07,7.843459419056049e-07,8.787474666074728e-07,9.616630590834583e-07,1.0233532296672264e-06,1.0507623755059247e-06,1.0262084312585293e-06,9.236252502877541e-07,7.053220069722236e-07,3.210512206970811e-07,-2.979835015285802e-07,-1.2475340914902796e-06,-2.656891657483355e-06,-4.696177684239444e-06,-7.595639949995043e-06,-1.1666928788524089e-05,-1.7317612019098517e-05,-2.5084450848903708e-05,-3.5685259845835625e-05,-5.0065902256754595e-05,-6.94498422428635e-05,-9.543075735438514e-05,-0.00013006106802588435,-0.00017595959851002775,-0.00023644851490309913,-0.0003157207934329373,-0.00041909564461098994,-0.0005534257644980927,-0.0007278081060119541,-0.0009547008148258533,-0.001251396780703971,-0.0016412175886278348,-0.0021527846498736805,-0.0028147050649023806,-0.003643393673378602,-0.0046242920978867945,-0.0056909616381759665,-0.006710534207270919,-0.007489541296976907,-0.007824106787035986,-0.007500548211643892,-0.0068610857010781125,-0.006487495763332953,-0.006959744539296792,-0.008690023324704201,-0.012016630327198173,-0.015280598136233699,-0.010521477772197814,0.007795646275110071,0.03949514025879236,0.07320206325370239,0.08587502584915567,0.0731660741934431,0.07605176416157822,0.128624330254698,0.2052134475083473,0.22942180940810677,0.2357391122705339,0.30651202887700935,0.3805879121739158,0.4167439634864746,0.4976578946680632,0.5713094649436553,0.6501333785577187,0.7404881881759333,0.8344780346141863,0.9356867476571099,1.043726576320491,1.156749562237237,1.275171940218909,1.3981421175246607,1.5248928596944256,1.6544576676327247,1.7857425681031234,1.9177264921376207,2.0493782905020814,2.1796287518915847,2.3074536357717417,2.4319410335167038,2.5523276678602356,2.668027881159946,2.77866141390401,2.8840538182175957,2.984222667208594,3.0793527477038722,3.1697609213706657,3.2558469625136395,3.338039562381752,3.4167572831924264,3.492378860008384,3.565225613766006,3.635551919508698,3.7035470688861225,3.769349694047907,3.8330698280217548,3.8948162379788687,3.9547104761198875,4.0128837679174545,4.069455840600482,4.12450685812208
0.0,0.2565,0.043500000000000004,0.0,0.698,0.9175,0.7849999999999999,-1.0,0.0,0.0,2.3535157784237453e-07,2.2902696980809727e-07,1.9581798130895378e-07,1.2311500749290925e-07,-6.206344679679273e-09,-2.155149503499152e-07,-5.358197763256611e-07,-1.009756524828569e-06,-1.6963180522553176e-06,-2.6744671829620276e-06,-4.049108759694454e-06,-5.9624757865119155e-06,-8.60636046786075e-06,-1.2231536846376146e-05,-1.7171279499687916e-05,-2.387266542166624e-05,-3.2924218177030084e-05,-4.5099712328812455e-05,-6.141724547731163e-05,-8.321023477619864e-05,-0.00011221817069858603,-0.00015069579600054906,-0.00020155280825196072,-0.00026851965658206606,-0.0003563521597540476,-0.000471103478124829,-0.000620484949608732,-0.0008144260753442377,-0.0010658980687490705,-0.0013920992590907195,-0.0018158239700793999,-0.002366318741356255,-0.0030782216453003356,-0.003986695956639038,-0.0051178657577335114,-0.006475831940454518,-0.008030135887873907,-0.009709305531425181,-0.011409058611838174,-0.012995301529643089,-0.014405372067337392,-0.01588033425752587,-0.01779712144279528,-0.020467196990946353,-0.02438418685877957,-0.028186205570450835,-0.029150136846271865,-0.023203314032559156,-0.007843159386002163,0.01402919509974259,0.03005547344358002,0.02967611153196672,0.025003670580637207,0.04701783559704439,0.1009976812253009,0.14062962634185483,0.14226824992901208,0.17650252188094873,0.25171942737360903,0.2825875588453392,0.33216374683031163,0.4092655465287819,0.46131071418125924,0.5461380637207675,0.6193057273420013,0.7104971769656999,0.8027101257402962,0.9023059056586328,1.0087225742609582,1.1202297357238167,1.236249481620221,1.356722717494155,1.4804771453891215,1.6062963490310085,1.7331749147731823,1.8600839133149576,1.985922231547333,2.1096170300328203,2.2302175868300775,2.3469412093882194,2.4592003989156233,2.5666352999272806,2.6691272944017155,2.7667921612356405,2.8599376347992242,2.9489989095560305,3.0344588479371866,3.116771683423822,3.1963146022052684,3.27337194548911,3.348155411758516,3.420830562339956,3.491538275316767,3.560401148162666,3.6275145327884086,3.692929856758263,3.756642951253748,3.818628975635896,3.878904838915904,3.9375355023385703
0.0,0.2185,0.044300000000000006,0.0,0.674,0.9405,0.865,-1.0,0.0,0.0,-3.8854797579264476e-08,-1.356813703511059e-07,-2.927189065458087e-07,-5.332848310491611e-07,-8.882444171565836e-07,-1.399358403149356e-06,-2.1216745681399167e-06,-3.128754904843523e-06,-4.520661894064359e-06,-6.431730085153566e-06,-9.037841379901294e-06,-1.2573794036902183e-05,-1.7354454719200902e-05,-2.3792700675454308e-05,-3.242884381569956e-05,-4.3981002628014706e-05,-5.9398219545881755e-05,-7.991549471443699e-05,-0.00010715268731961891,-0.00014322082505475135,-0.0001908607126828335,-0.00025361153476014285,-0.0003360161445412987,-0.0004438733835742923,-0.0005845483251561656,-0.0007673833073605162,-0.0010042804517843994,-0.0013105958464413672,-0.0017064915807485145,-0.0022188036615395567,-0.0028829934008924095,-0.0037437780467029073,-0.004851845320422213,-0.006253659594425954,-0.0079734063508529,-0.009990215103016363,-0.012217880305235601,-0.014498349501016906,-0.016627199553156065,-0.01832416892367933,-0.019696722377016033,-0.02128179316718766,-0.023878417958975537,-0.028061021409652002,-0.033959000280637655,-0.0400600412885105,-0.04037832744811689,-0.028378603452300852,-0.0018171716892865625,0.03064798155749636,0.046947933481997536,0.03574819795248211,0.028443159744175814,0.06975051673470616,0.1486305179140903,0.1828072017576437,0.17556580267317834,0.23632157260052714,0.32576368920772736,0.3487349938444567,0.424457226866943,0.5050339501037324,0.5707975871621813,0.6666855781311881,0.752656928461055,0.8533812409334953,0.958854087731871,1.0682687956623216,1.184183304026538,1.304545610872688,1.4280913612921875,1.554585113101426,1.6827209163550385,1.811257123008671,1.939145891891164,2.0653678902011587,2.188915830515278,2.308889840998394,2.424578254716312,2.5354929369314476,2.641381842904735,2.7422344063788313,2.838260471198254,2.9298436184414403,3.017464975451654,3.1016226530648296,3.182762751320821,3.261239378145268,3.3373148683117653,3.4111822858210963,3.4829968852161364,3.5528936942235236,3.6209896530196675,3.6873710040863923,3.752072266886722,3.8150770102119336,3.8763644353092923,3.9359686227309436,3.9939562000985336,4.050343498313993
0.0,0.2335,0.0427,0.0,0.614,0.9725,0.729,-1.0,0.0,0.0,3.4323617208742987e-07,3.726513687173753e-07,3.866790897054064e-07,3.76266039703055e-07,3.300120154394994e-07,2.321139086891738e-07,6.012923111832493e-08,-2.160441743510468e-07,-6.372873985272058e-07,-1.2604337734462606e-06,-2.1628673984922606e-06,-3.446144684537607e-06,-5.247360106369e-06,-7.752694659123163e-06,-1.1207128395503979e-05,-1.5931972118513004e-05,-2.2357625702459012e-05,-3.105680450387502e-05,-4.277492469457177e-05,-5.849077515452335e-05,-7.948104352997432e-05,-0.00010740056076081625,-0.00014437965575736722,-0.00019314306083677974,-0.0002571544257718037,-0.00034080999709059414,-0.0004497236849953852,-0.0005911706836555739,-0.0007748205165229057,-0.0010138196415918428,-0.0013261067400844246,-0.0017352790993581107,-0.0022696058379770424,-0.0029572069195353398,-0.0038163291672783893,-0.004841985341874927,-0.005993238195779986,-0.0071874288404310035,-0.008311409698108996,-0.009231886461507107,-0.009885865999555385,-0.010640441588363952,-0.01204898373613503,-0.014339087183374085,-0.01771709343183769,-0.022089708012497166,-0.024314771876360962,-0.0187574247708511,-0.0027080690424341153,0.021572347420210376,0.04060189250849562,0.039763718956169314,0.029350452710866726,0.04642679615793716,0.10212791663483006,0.14899484921891418,0.14786362270288536,0.171315653967209,0.24867615301623802,0.2842513059558421,0.32348673863078786,0.4023518533916818,0.4522640584917921,0.5329889239560515,0.6049434106392376,0.6930577103655764,0.7820916649792595,0.8796231180006131,0.9831560236277317,1.092039116179744,1.2060771244877977,1.3246530151167688,1.4466608388788231,1.57135902258891,1.6977999495296419,1.8248512735839841,1.9513747594717425,2.0763203674215647,2.198713365861953,2.317673022816599,2.4324639547175626,2.5425491594642757,2.6476188310990203,2.747589466792424,2.8425907933887786,2.9329263922394992,3.0190177685917794,3.1013360643753805,3.1803377268534607,3.256418521408864,3.3298870891385413,3.400968041975076,3.469824130987656,3.5365895240601777,3.6013940084393727,3.664365873518251,3.725618243558457,3.7852245844436774,3.8432045362361964,3.89954200527216
0.0,0.2425,0.036500000000000005,0.0,0.646,0.9325,0.723,-1.0,0.0,0.0,4.755878647964544e-07,5.35579340672909e-07,5.879494163946216e-07,6.259202506960396e-07,6.404357087777705e-07,6.184308809018044e-07,5.415083851771083e-07,3.848160815657636e-07,1.1319125062788782e-07,-3.229494777944343e-07,-9.898818550316921e-07,-1.9766734504349172e-06,-3.405683837583156e-06,-5.4424684726122566e-06,-8.303331348626898e-06,-1.227826129796415e-05,-1.775832378104195e-05,-2.5257004497993495e-05,-3.545131997789818e-05,-4.923061954161645e-05,-6.77566417043323e-05,-9.253811916153055e-05,-0.00012551988561325722,-0.00016919412661095466,-0.00022673932510377143,-0.0003022067112392758,-0.00040079323281557827,-0.0005292756739828285,-0.0006966716572716324,-0.0009151706292484224,-0.001201119343356329,-0.0015753990251553991,-0.0020619716367146516,-0.0026832974058089766,-0.0034523301711151546,-0.004362825932340658,-0.00538149324634468,-0.0064471101602769625,-0.007484095158876221,-0.008399034153240899,-0.009199974585503376,-0.010186288335729024,-0.011692111511137743,-0.013886232654988739,-0.016534050839936844,-0.019419903297089484,-0.01895259212080978,-0.011693607848114183,0.003613408819919935,0.022538679473018904,0.03457928892734545,0.03314461363740278,0.03330854111335573,0.06053704716947798,0.10923657278854361,0.13676306860547516,0.14203249814067329,0.18467669174686202,0.2467181112450469,0.2744872568814726,0.33126796864748653,0.3948550086610208,0.45222199937214147,0.5285242981961639,0.6029158019323411,0.6880690646075752,0.778872014094435,0.8755981036609246,0.9790472709647431,1.0883146710099822,1.2028941357804055,1.3220504590400977,1.445020216413508,1.5709357298350646,1.6987911917995477,1.827487043443034,1.9559095998212774,2.0829853695156317,2.2076990931377347,2.3291323987948997,2.4465142181142014,2.559270543322959,2.6670507144205517,2.7697323152305167,2.8674114271289977,2.96036713445639,3.049008590891879,3.1338052187936034,3.21522168721475,3.293666574610831,3.3694631267446864,3.4428489004895537,3.5139934057352056,3.5830300595321685,3.6500823387168935,3.715274789494782,3.7787227306607805,3.8405082092355602,3.900662040874129,3.9591716398283405
0.0,0.2505,0.0509,0.0,0.79,0.9815,0.839,-1.0,0.0,0.0,-3.5735214322231147e-07,-5.138283089054572e-07,-7.360386503438328e-07,-1.0475589230681892e-06,-1.4791198847897416e-06,-2.070907375071578e-06,-2.876844604739201e-06,-3.969413421036161e-06,-5.443810868008658e-06,-7.426256156424703e-06,-1.0085537695650443e-05,-1.3644761647247388e-05,-1.8394926026459277e-05,-2.4721579537865396e-05,-3.3136275975826084e-05,-4.430737224509677e-05,-5.91129387980267e-05,-7.870423181222034e-05,-0.00010458699093062979,-0.0001387256298601853,-0.00018367271003440856,-0.00024273407802584862,-0.00032016896661715125,-0.0004214359337910802,-0.0005534983403058647,-0.0007252147036563518,-0.0009478599940515172,-0.001235884996100798,-0.0016080343606312947,-0.0020889326021629817,-0.0027109971340681755,-0.0035159195643957035,-0.004553980739919247,-0.005878871806284509,-0.007536519366883712,-0.009549035991023988,-0.011898001256778012,-0.01451330745793225,-0.017277425957097883,-0.02002853400612211,-0.02270958418859821,-0.025519997656386684,-0.028888877778151606,-0.03337071179778151,-0.03911536839705952,-0.0452513002814233,-0.04884402470694492,-0.044889682212789286,-0.030295122346267054,-0.00860602929668205,0.006901806864615752,0.003488644821004474,-0.006240460488071633,0.013563785089856582,0.07039672408169942,0.1110523735767396,0.10445123952100029,0.13543619374414473,0.21723154984722604,0.2397375972888478,0.2852619350980803,0.3665877840254939,0.40787781384707344,0.4967501371941523,0.5612444539803383,0.6526385570864829,0.7400942964349277,0.8351814355774098,0.9383652829436758,1.0455075913050047,1.157451029181079,1.2729804525720319,1.3915559425097315,1.5121364495555671,1.633555166881953,1.7547056320427346,1.8745389932720655,1.9920676026138044,2.1064155196207657,2.2168769878835946,2.3229603076047733,2.424408867955163,2.521207540098569,2.6135533972910174,2.701803393719181,2.786401275865105,2.8677978873451773,2.946395344828907,3.0225243316515233,3.096451168619696,3.1683828833489267,3.238470508251648,3.3068087465771563,3.373433678531165,3.4383353130160095,3.501495139861089,3.5629253119988316,3.622648950581175,3.6806548430617774,3.736917952524585
0.0,0.2275,0.0441,0.0,0.754,0.9925,0.773,-1.0,0.0,0.0,4.901740334938481e-09,-5.010144491554369e-08,-1.4144951056092648e-07,-2.8380430158646155e-07,-4.966788066376264e-07,-8.054498760964574e-07,-1.244307416428633e-06,-1.860125782377038e-06,-2.71575550819739e-06,-3.894008119769161e-06,-5.506428731572142e-06,-7.703237973650133e-06,-1.0680784163218362e-05,-1.469808379998852e-05,-2.010160226175556e-05,-2.7349049102165163e-05,-3.7039389481939236e-05,-4.9961264693341455e-05,-6.71478175029319e-05,-8.994749687745301e-05,-0.00012011258852343449,-0.00015990878531952512,-0.0002122475830875858,-0.0002808509181664709,-0.000370457835795914,-0.0004871017717734712,-0.0006385239354304198,-0.0008348041446802997,-0.00108933924303056,-0.0014201840234970887,-0.0018514792662449816,-0.0024140340267496774,-0.0031434355611171176,-0.004074079788413061,-0.005228984718518332,-0.006607832780934012,-0.008177673439758892,-0.009872376193800578,-0.01160672085685862,-0.013275959074224715,-0.015000694422078319,-0.01710938262926329,-0.02002347501572676,-0.02421440670860216,-0.029467729683460595,-0.034120307939693714,-0.03456354263195518,-0.026955386102675265,-0.010217778721040073,0.00905610479380402,0.01564160084026998,0.0064096228003316805,0.0053224421675018545,0.04027312702843654,0.09414710524519218,0.10827200152801814,0.10562996451896124,0.16375755107833878,0.2222603539555023,0.23510802083406834,0.30697477758721925,0.35877975754124675,0.41918716982422355,0.4915996996492588,0.5664201019778041,0.6468651420482053,0.7378856814455356,0.8316242508183892,0.9322842740950916,1.0393479709845024,1.1507936560119087,1.2663839883328196,1.3857001566863871,1.5077161563449766,1.6312418780693614,1.755176325705332,1.8784768308927773,2.0001075028202084,2.119080396140993,2.234537384958464,2.345811020220176,2.452448768396277,2.554232710455336,2.6511798060316605,2.7435175333818993,2.831630220601827,2.915979747229402,2.997029464532868,3.0751837000076883,3.1507642360002377,3.2240170248666686,3.2951366176735366,3.3642877192588405,3.4316066866675916,3.4971915215895235,3.5610839066378794,3.623270513842226,3.683726528579505,3.7424748686676543,3.7995779225015984
0.0,0.2925,0.0431,0.0,0.8580000000000001,0.9675,0.711,-1.0,0.0,0.0,3.0795164149045003e-09,-3.246609966944907e-08,-9.118071480546978e-08,-1.8256681867477458e-07,-3.1901651846169185e-07,-5.173347040001231e-07,-8.005344530776413e-07,-1.1992350458140284e-06,-1.7544896634552935e-06,-2.522066565764528e-06,-3.5768154870412693e-06,-5.0170159300793555e-06,-6.974191581648056e-06,-9.625143578095085e-06,-1.3202044725421224e-05,-1.800943408419359e-05,-2.445333581989061e-05,-3.3071597990196744e-05,-4.456503600193099e-05,-5.985429250847559e-05,-8.014173821064221e-05,-0.00010699008405283894,-0.00014242193239199412,-0.00018904135112422378,-0.00025018581146655334,-0.000330123742094791,-0.0004343222554169067,-0.0005698351166004665,-0.0007458715209901517,-0.0009745938680635869,-0.0012720895469982803,-0.0016591569705921496,-0.002161207838090865,-0.0028063571091584386,-0.003621289505786389,-0.004625548900063303,-0.0058260524468753475,-0.007214015457648694,-0.008767231373729839,-0.010455297528850598,-0.012269070487668678,-0.014291488686766083,-0.01666904528946837,-0.0195543852058134,-0.022886073626043116,-0.026147160021571303,-0.027960854249413785,-0.026238535604920434,-0.01968155321476004,-0.009590662633059693,-0.0017823933871414393,-0.0015686990941853867,-0.002578934091390002,0.011077783443092903,0.041828968307372705,0.0650807754794083,0.06860200889397283,0.09401217856158384,0.14291542766522813,0.163211038528503,0.20118336642558166,0.2554242138474674,0.29280506258874545,0.3572518452148131,0.4110956254200599,0.4816135000567117,0.5538628193936519,0.6323603764431659,0.7186772486602747,0.8107084048574925,0.9085912648020776,1.0118258491414636,1.1200162860840603,1.232406275618441,1.3480750292858381,1.4660451545180444,1.5852862647494252,1.704720116954819,1.8232636886138156,1.9398889298559394,2.053684958914402,2.1639003413952684,2.2699867944041197,2.371627079560308,2.4687398365181754,2.5614615321301675,2.6500968468718566,2.735055387148929,2.816774376888828,2.8956582227321177,2.9720490188435624,3.0462219332257754,3.1183953354558565,3.1887309357128855,3.2573293444925837,3.3242226842756852,3.3893881625318296,3.452801440455087,3.5144811997554184,3.574466876390946
0.0,0.27149999999999996,0.0463,0.0,0.8180000000000001,0.9395,0.873,-1.0,0.0,0.0,-5.364802093882735e-07,-7.444578860008939e-07,-1.0333175458282501e-06,-1.4312535203186166e-06,-1.9747888268068315e-06,-2.7120706531013077e-06,-3.7075689914522408e-06,-5.0470159199857625e-06,-6.84290908663448e-06,-9.244858008990206e-06,-1.2452186112396523e-05,-1.6725937056190444e-05,-2.2408531577303364e-05,-2.9953810557681585e-05,-3.996026371047212e-05,-5.32096192751814e-05,-7.072884757571735e-05,-9.386312624087271e-05,-0.0001243702256340105,-0.0001645428445458972,-0.00021736006514084586,-0.0002866823931709042,-0.0003774889952233048,-0.000496173471804438,-0.0006509067617391178,-0.0008521044805307968,-0.0011130293945851811,-0.0014506311074090163,-0.0018867156085929856,-0.0024495191763485484,-0.003175502581966988,-0.004110607686064643,-0.005309430452779271,-0.006830208952637413,-0.008724427799805598,-0.011021987131149049,-0.013715369826632606,-0.016747959736136638,-0.020014824776948204,-0.023368390140993733,-0.026716946981314462,-0.03018017299890101,-0.034057638380894185,-0.03873146939174943,-0.044212546929570426,-0.04961495250314149,-0.052435624656194085,-0.04882506309523687,-0.03601909108834706,-0.01740919903555502,-0.004227967788042909,-0.004927861841237714,-0.008292828488335943,0.01315000685218409,0.06387609034647874,0.09944554541455766,0.10175657956479868,0.13753278016105835,0.20972851522612707,0.2366557107770249,0.2879462590899336,0.3623947786143095,0.4115430203342814,0.49658214332628786,0.5660346217806724,0.6560401822706198,0.7462916396227894,0.8428149391300942,0.9469298493556113,1.0557269674548617,1.168887691907021,1.285523078786444,1.405101884777025,1.5265108631233208,1.6485238057909777,1.7700292345565667,1.88999921786659,2.00747270591527,2.1216091257078546,2.2317583290923673,2.337503302870648,2.4386691664939772,2.5353202433017517,2.627718719369303,2.716261270418116,2.8014031927384186,2.8835903220665675,2.963214374517411,3.04058901799906,3.1159516069197375,3.1894675627382543,3.2612363078136037,3.3312941395853586,3.399632259004017,3.4662377859470777,3.5311180287236725,3.594281094310122,3.6557021476664797,3.7153501905607276,3.77324164466136
