z,Omega_c,Omega_b,Omega_k,h,ns,sigma_8,w0,wa,m_nu,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,k43,k44,k45,k46,k47,k48,k49,k50,k51,k52,k53,k54,k55,k56,k57,k58,k59,k60,k61,k62,k63,k64,k65,k66,k67,k68,k69,k70,k71,k72,k73,k74,k75,k76,k77,k78,k79,k80,k81,k82,k83,k84,k85,k86,k87,k88,k89,k90,k91,k92,k93,k94,k95,k96,k97,k98,k99
0.0,0.27739560485559633,0.04377756879504105,0.0,0.843439167964553,0.9797368029059363,0.7188354695775299,-1.0,0.0,0.0,8.374259060463747e-10,-3.7832735327433646e-08,-1.01484687140908e-07,-2.0036128776050865e-07,-3.4773543906295873e-07,-5.615189394570559e-07,-8.662615935174795e-07,-1.2947836994928871e-06,-1.8908331166893453e-06,-2.713749864319459e-06,-3.8434994889299985e-06,-5.3848234373262795e-06,-7.47721611671881e-06,-1.0308006690145405e-05,-1.4124215281844398e-05,-1.925185166989909e-05,-2.612161983906046e-05,-3.5300815645152104e-05,-4.7534596888644735e-05,-6.37982267616421e-05,-8.536433436146399e-05,-0.00011388575258170766,-0.00015149814799094124,-0.000200946961914548,-0.00026574630727441563,-0.0003503868351062032,-0.0004606195024768152,-0.0006038775789591174,-0.0007898983945682209,-0.0010316090750689358,-0.0013461655080520187,-0.0017557505232559303,-0.002287283505594787,-0.002970015217327192,-0.003830622080523386,-0.004886716522249565,-0.006140877957587361,-0.007577885509569567,-0.009168762272515889,-0.010875119563458319,-0.012700556937182318,-0.01476001876889732,-0.017242136740515304,-0.0203314147305432,-0.023953310610365104,-0.027472761820713332,-0.02923335645753915,-0.026972472130351418,-0.01906451081757018,-0.007657603608572857,-5.2459471345471815e-05,-0.001258171122277791,-0.002574961017346395,0.013663809325377812,0.0481995201771738,0.07016083737448767,0.07182242352215393,0.1018061984557486,0.15339034580449587,0.1705865394401806,0.2140865143325551,0.2679649363225861,0.3077274339814598,0.37397383095657305,0.4301669066213539,0.5018174417223882,0.5770880979708256,0.6572723916074389,0.7454611508464494,0.8398352800644842,0.9395379418290758,1.0443418054038356,1.154052104170487,1.2678264118038942,1.3846312386665622,1.5034597475081894,1.623297496465639,1.7430775967282832,1.8617173957507251,1.9781993319867064,2.0916421046252704,2.2013343324033716,2.3067690796361906,2.4076694071582154,2.5039939996771454,2.595916681538793,2.6837696628678587,2.7679748425142745,2.8489685387704244,2.9271465944783146,3.002840744412433,3.0763170138624423,3.1477880924644457,3.217414727668552,3.2852996389332416,3.3514782326768127,3.415929399229319,3.478627695860881,3.5395909994671766,3.598862750133609
0.0,0.2975622351636756,0.05022279403980706,0.0,0.8144257221107816,0.9228113632675546,0.7900771875791134,-1.0,0.0,0.0,-1.3249739939249648e-07,-2.1835547300592872e-07,-3.461492014820107e-07,-5.319200622459537e-07,-7.965694330409795e-07,-1.167878249845379e-06,-1.6835220053916366e-06,-2.3941782048025358e-06,-3.366730143191375e-06,-4.690890484503751e-06,-6.487302744997079e-06,-8.91483874127946e-06,-1.2182662868539318e-05,-1.6569849796048034e-05,-2.244684303800016e-05,-3.0298794082108263e-05,-4.076613141058036e-05,-5.469108829830345e-05,-7.317833764840916e-05,-9.767357054599893e-05,-0.00013006216712741677,-0.00017279389479522562,-0.00022903725801402445,-0.0003028692144492612,-0.0003995114953890932,-0.0005256206402918491,-0.0006896737230025025,-0.0009024969107660562,-0.001178029350222073,-0.0015344001667247458,-0.001995328496935828,-0.002591437959984845,-0.0033605632504961538,-0.004345434058799171,-0.005587360808210945,-0.007115927931073977,-0.008936881188533884,-0.011021773425224972,-0.013304398829920756,-0.015688790217790103,-0.018070366025318804,-0.020474904507693868,-0.023080348015952986,-0.026202727339563976,-0.029996194256942194,-0.03412390536215764,-0.03710067689758451,-0.03608570954498944,-0.028131348581811388,-0.013130309221717085,0.0021394017586518,0.007126711585447575,0.003301036662347224,0.01096204736392508,0.0472614363313207,0.09096179627195176,0.10159942239783062,0.11389437256304089,0.17504794432724802,0.21920257615232194,0.24397132158752413,0.3183287781419722,0.36313061043910977,0.43440972707873293,0.500562153919233,0.5823224948078799,0.6616481470538961,0.7539867336134114,0.8504042146295727,0.9516283814705709,1.0590806536436923,1.171419689329826,1.2874653331448385,1.4062751037459982,1.52697356696918,1.6485431995578574,1.76983832100903,1.8897435429953984,2.0072745945012547,2.1215921410393186,2.2320275525355053,2.3381226302191638,2.4396634592491595,2.536684962031564,2.629424294936162,2.7182556983107444,2.8036155245482703,2.8859377661316468,2.9656083634230748,3.0429389063920347,3.1181698007049308,3.1914814645663925,3.263004268463969,3.332814052962513,3.400923780777909,3.4673059089331493,3.5319441436293433,3.594859032362676,3.6560666030819946,3.7155448291291155
0.0,0.23707980242325813,0.05353529977697204,0.0,0.7575460480322658,0.992276161327083,0.7886828397654662,-1.0,0.0,0.0,-7.580772142038823e-08,-1.5351285033523594e-07,-2.74039759352623e-07,-4.539951683750812e-07,-7.154123758966399e-07,-1.086968907438575e-06,-1.6072268805394197e-06,-2.3287698268384403e-06,-3.3217754986136817e-06,-4.67872413575506e-06,-6.52389109922883e-06,-9.024075082599677e-06,-1.2397046224660625e-05,-1.6930216526103893e-05,-2.300744171455501e-05,-3.113497762484323e-05,-4.197554182725788e-05,-5.640148715939926e-05,-7.555585199482638e-05,-0.00010093145824476409,-0.00013446961383516555,-0.00017868319524117713,-0.00023680554798345463,-0.0003129720861384335,-0.00041244322015385556,-0.0005418909040974548,-0.0007098009176937098,-0.0009270904148579477,-0.0012080705120655817,-0.0015719017487303504,-0.002044415505992924,-0.0026596059081267125,-0.003459059676150096,-0.0044869600382382545,-0.00577899612578582,-0.007346512789515404,-0.009160308601254198,-0.011140964341345918,-0.01316673959535233,-0.015070463533725209,-0.016827969433891154,-0.018698559094536587,-0.021196389977606853,-0.024998784993453444,-0.03037179135761468,-0.03654502278811964,-0.0400497368237048,-0.03585914816400806,-0.02040152433618629,0.003788075617895057,0.02148874601055076,0.01640692881514612,0.002629291752289051,0.019433363099553354,0.08007742708259243,0.12503308653266795,0.1129930418035761,0.1376808164655184,0.22572927558901779,0.24709814138575809,0.2853156924526653,0.37234771085848783,0.40730386085782483,0.49780447031150377,0.5585743037713563,0.650633853365338,0.7351789376799885,0.8293676548792499,0.9316721125370785,1.0377584731864151,1.1490339337930044,1.263936464632361,1.3824049219748449,1.5034302523854788,1.625738896125127,1.7481965186443253,1.8697802676293038,1.9894850465650475,2.1063567518046145,2.2195820833522495,2.3285494794539727,2.4328712501469134,2.532396411525257,2.6272027587239513,2.7175640780694454,2.8038900257702926,2.886642045988983,2.966261473961166,3.043122005378629,3.117519706306956,3.189685857988604,3.259806268913306,3.3280333394653114,3.394481419791003,3.4592155055299383,3.5222409762208495,3.58353125605433,3.6430878817218084,3.700959566327911,3.75718576501345
0.0,0.2227238721784777,0.0460916957403167,0.0,0.5255269024416701,0.9927631171992582,0.826332879824413,-1.0,0.0,0.0,6.66798387589752e-08,8.09820118792826e-09,-9.889583719135331e-08,-2.7394778323401397e-07,-5.431002402658167e-07,-9.400860603423566e-07,-1.5095911343290434e-06,-2.313002899785336e-06,-3.433695352113769e-06,-4.980746530811097e-06,-7.099975973188609e-06,-9.9876554941213e-06,-1.3902422189097643e-05,-1.918264465964602e-05,-2.6278400929180106e-05,-3.57870408457916e-05,-4.848377978656032e-05,-6.538501744854703e-05,-8.783390115185973e-05,-0.00011758086822556474,-0.00015689326782118956,-0.00020871083765927744,-0.0002768168616817792,-0.0003660509235446962,-0.00048256694280029164,-0.0006341536283878663,-0.0008306749264629184,-0.0010847244667914033,-0.00141265079570525,-0.0018361408638504313,-0.0023843165643389246,-0.0030956457094860027,-0.004017601976676335,-0.005200606409150218,-0.006682469369807015,-0.008462717967074623,-0.01047148339072173,-0.012543264707041677,-0.014413887907127469,-0.015774936616590653,-0.01627847903020817,-0.016236964397928797,-0.01644920924727495,-0.017914260867066722,-0.021442917144367746,-0.027593108704903415,-0.03453281330467966,-0.032969282401364146,-0.014688504120064621,0.021813104886624645,0.06432434954760392,0.08218671999857395,0.06348935756580976,0.05448212814531889,0.10650273740595498,0.20091935415383141,0.23638409893818998,0.2292594443528654,0.2978190752971416,0.3916706571829438,0.4231555505476556,0.5042984877198525,0.5886975994768059,0.6643389973763651,0.76236055515625,0.8564716330793888,0.961368900772311,1.0711244842952876,1.1850959258038296,1.3040380830465297,1.4264743150933454,1.5515626311759068,1.6782611455459697,1.8054740135559724,1.9321478561139165,2.057230934899341,2.179704653096903,2.298660711358851,2.413369516107681,2.5233025767376875,2.6281459456880585,2.727809802041029,2.822424297998518,2.9123099133443273,2.9979088695128957,3.079709725501063,3.1581801808250645,3.2337211068881135,3.306645568580865,3.3771795561695837,3.4454890569652763,3.511711138357931,3.575976180651246,3.6384094007365904,3.6991152537822347,3.7581567502058575,3.8155429182122615,3.871260234931934,3.9253370413984214,3.977855860807562
0.0,0.27580877400853737,0.04209051936259737,0.0,0.8882792097579613,0.9993121121322198,0.8556766994147524,-1.0,0.0,0.0,-6.957364150309683e-07,-9.340291524646759e-07,-1.2571252733599188e-06,-1.693019905794534e-06,-2.2781607143793023e-06,-3.0608094161637707e-06,-4.104857748366717e-06,-5.4938714447952735e-06,-7.338466395907348e-06,-9.785536695567894e-06,-1.3027677330058124e-05,-1.7316930930442445e-05,-2.2986477518238767e-05,-3.0475910202302894e-05,-4.035633155380819e-05,-5.337656249078796e-05,-7.052383218427428e-05,-9.3086107429231e-05,-0.000122742004500481,-0.00016167950024708808,-0.00021274221243318094,-0.0002796129171780428,-0.0003670441354463488,-0.00048114734081303824,-0.0006297498676320112,-0.0008228583331580173,-0.0010732626009927037,-0.0013973735480077387,-0.001816358360657197,-0.0023576224677517832,-0.003056433652783427,-0.003957012653196957,-0.005111812223669008,-0.006577589782454041,-0.008407647300161592,-0.010641337855975404,-0.0132932648818157,-0.016345535101834188,-0.01974861673572155,-0.02342413899460761,-0.027340763419790078,-0.03158527884519575,-0.036368970373960946,-0.04183694574269459,-0.047822713526397324,-0.053389489101272725,-0.05633062022028268,-0.053912616798610445,-0.045095393143004904,-0.033141548651378895,-0.026658202983825038,-0.029677718184992954,-0.029251192784851734,-0.006225037099980559,0.032938756099665706,0.05299671496473621,0.05717401210085352,0.09876510377923184,0.1511657009133997,0.17008970981285831,0.22655043896587504,0.27931861393328894,0.33056813047738665,0.399544302510949,0.46589858427589675,0.5418083233325321,0.6256962124450737,0.7126631256438222,0.8070526694088408,0.9066320037723056,1.0118023661563835,1.1212226680123023,1.233847148368689,1.3489319607395378,1.465598600315469,1.582742953827171,1.6992298143470792,1.8140220281470287,1.9262093019134463,2.035025607899504,2.1398899324298086,2.240444311229545,2.336574101772777,2.4283873990375544,2.5161746220924788,2.6003477568081297,2.6813697067205853,2.7596907163191084,2.8356939580894114,2.9096724517329102,2.9818237501769187,3.0522574725671627,3.1210104484779375,3.1880754059969934,3.253442515090914,3.317107871076789,3.3790522729088326,3.4392350688214335,3.497638283642672,3.5542783751906253
0.0,0.21946387078519677,0.044334420074540686,0.0,0.5175215063148915,0.9254289492067548,0.836609790648491,-1.0,0.0,0.0,4.444479837923702e-07,4.6406628474613615e-07,4.493176134251174e-07,3.8322895929768783e-07,2.4298304391923546e-07,-1.505481518360973e-09,-3.901182776170313e-07,-9.785613314734254e-07,-1.844070602098924e-06,-3.088484477454281e-06,-4.848447924250508e-06,-7.309599695066432e-06,-1.0719306162656662e-05,-1.5401287495087128e-05,-2.178778561417491e-05,-3.0456369353895482e-05,-4.215979778422805e-05,-5.78838706590516e-05,-7.893471418660966e-05,-0.00010702389131736263,-0.00014436393414727806,-0.000193824482202789,-0.0002590969394078455,-0.00034489339057680753,-0.0004571859317017441,-0.0006035132157404936,-0.0007933887660972176,-0.001038932397029945,-0.0013559087476216112,-0.0017653142573559747,-0.002295483959033436,-0.0029838625170916003,-0.0038760752668042368,-0.005018412971038229,-0.0064396444789330985,-0.008121797312851406,-0.009965338880784231,-0.01176108692399556,-0.013189938213402188,-0.01388927209464163,-0.013468254385284683,-0.012311776774530015,-0.011305123380831665,-0.011499950339898906,-0.013756678509604488,-0.018740323900346953,-0.024375163068310713,-0.020333657367074296,0.0020893334255972793,0.043684939452174915,0.09067923322166853,0.11076696702088493,0.09300553719997089,0.08788423713008718,0.14686324701985065,0.24702453880726882,0.2854782215126042,0.28493585329918975,0.3609432275082276,0.4584637949102358,0.498098483779893,0.5867531526750095,0.6768234398607901,0.7613298928274026,0.8655897932810345,0.9679031049521725,1.0798510496983658,1.1967882635732274,1.3178040686145152,1.4432134627480937,1.5717269220683914,1.7023720080534288,1.8341287186392685,1.9657667234478966,2.0962483342706575,2.2245773908251496,2.3497856968847706,2.471028349654688,2.587652950611117,2.6992222465261846,2.8055221269897594,2.9065612836160293,3.0025444300263637,3.0938280684371247,3.1808607730099436,3.264121834555629,3.344065667753738,3.4210822630473303,3.4954805718324615,3.5674849272516016,3.6372535705592344,3.7049076300457595,3.770559692992879,3.8343281841070356,3.896331343450543,3.9566701822427213,4.015403405870629,4.072539267268979,4.1280735472301044,4.182053897857469
0.0,0.2744762155907817,0.0543501946486842,0.0,0.6303301432552608,0.9470459706034869,0.7939111622551616,-1.0,0.0,0.0,1.1765457138085163e-07,8.204744125025981e-08,1.1599354964760059e-08,-1.0862684631146988e-07,-2.98067853301528e-07,-5.832549869814136e-07,-1.0005153553695165e-06,-1.597911042275193e-06,-2.440529589114922e-06,-3.6171799608892114e-06,-5.246149539365747e-06,-7.4832267729106366e-06,-1.0537652049663823e-05,-1.4689994056259508e-05,-2.030643248309055e-05,-2.7870148391980398e-05,-3.802543578959435e-05,-5.16198784458694e-05,-6.976094383737648e-05,-9.390231534256395e-05,-0.00012593931662271843,-0.00016833534466992596,-0.00022427275071588675,-0.00029783904825411603,-0.0003942511708362014,-0.0005201356764958423,-0.0006838824356718679,-0.0008961596567034917,-0.0011706682402137822,-0.0015253025472741614,-0.00198374858269254,-0.002577179863350772,-0.0033448708233716935,-0.0043314494999077855,-0.005578098796479911,-0.0071066517437078395,-0.008899078544152577,-0.010878525051369867,-0.012901466733480782,-0.014777510037258827,-0.01624909892256561,-0.01734656528037237,-0.018496319305736152,-0.020326121752772326,-0.023550140862509082,-0.028625215381394467,-0.03316674461291746,-0.03325393614821625,-0.023023844454483453,0.0004131386165059871,0.029895814068033474,0.04630435718924431,0.038452767238889685,0.031051314615023567,0.06598072520974774,0.13764953871437074,0.17296032639882927,0.1659724266217356,0.21800156527014172,0.3038460910539474,0.3255779295670063,0.3926271659399847,0.4711865582890189,0.529716374720002,0.6216381120461401,0.7008464948512657,0.7968738202780803,0.8961609712357651,1.000001008828131,1.1105723498266142,1.2256536919570835,1.3439847010901622,1.4657334450808852,1.589425210158166,1.7137559932075193,1.8377445954159033,1.9604157505971693,2.080742017934318,2.197786753697207,2.3108088078572817,2.4192911228861003,2.522944944282823,2.62171526626385,2.715767577634483,2.8054471842561397,2.8912022571724396,2.973503185913888,3.052775001482362,3.1293605576485146,3.2035195456529872,3.275447629442236,3.3453056813773534,3.4132313911985475,3.4793362911936683,3.5436938509390052,3.6063288122326265,3.6672298695717016,3.7263948436286993,3.7838691959659814,3.839707688155219
0.0,0.21894713590842857,0.037598430106709435,0.0,0.6902819704903735,0.9326909349050885,0.833962798936502,-1.0,0.0,0.0,1.1810697299920221e-07,6.836193688387419e-08,-2.6070209331418864e-08,-1.837133354331148e-07,-4.293353632770769e-07,-7.96488697114231e-07,-1.3292858050806712e-06,-2.087557375541252e-06,-3.1533425944650813e-06,-4.6362691736509735e-06,-6.680735621848987e-06,-9.48098728152127e-06,-1.3297960190768589e-05,-1.8472279535089055e-05,-2.5453329483256e-05,-3.48408529486586e-05,-4.7423551574280055e-05,-6.42325621684519e-05,-8.662121626636557e-05,-0.00011635340441537847,-0.0001557203982729849,-0.00020768173418902786,-0.0002760382269258352,-0.0003656452480937686,-0.00048268377698158283,-0.0006350294034092185,-0.0008327823316552855,-0.0010890857883668944,-0.0014213194397114258,-0.0018526359991304481,-0.0024133002718825587,-0.003140537041655517,-0.004074838511040756,-0.0052509794042498534,-0.006684176865712731,-0.008354736386149626,-0.010197154785122448,-0.01210243157836151,-0.013945377240530889,-0.01554415808359074,-0.017119210332129355,-0.019099495765439845,-0.021979555305983625,-0.025958061976364653,-0.031092292026657236,-0.03442879450928982,-0.03183125772877666,-0.01865711041278904,0.00434711295756121,0.027073581460267143,0.03378646687515793,0.025303098188531152,0.033499115210482905,0.08221767985676857,0.14115312710949357,0.15439745984737302,0.1666878438196989,0.23958182981407625,0.29680240700687305,0.3283084056662434,0.4112285633613424,0.47091135241837767,0.5498258851364317,0.6308372138205862,0.7216970792858796,0.8155266287091247,0.9188912700157001,1.0268938576841475,1.1403753284793479,1.2590071442182058,1.3817070201233659,1.5075346383667898,1.6355439707623336,1.764695577990157,1.893868454211084,2.0219369028591294,2.147843878832513,2.270638988879253,2.3895144126939782,2.503848409880288,2.613244661435484,2.7175584624607723,2.816882000602669,2.9115075074825176,3.0018671154158745,3.0884587739267606,3.1717695342263323,3.252212685565559,3.3301043025482495,3.4056719182919135,3.4790873742916895,3.550495440766552,3.620025906413895,3.6877891649981316,3.7538599981231036,3.8182629508044355,3.880975954830351,3.9419863975956173,4.001342035149784,4.059108476112897
0.0,0.24371519188723306,0.05165356392115675,0.0,0.7801060408008997,0.9412366641382042,0.8664519602790403,-1.0,0.0,0.0,-3.1635684335813923e-07,-4.741077947246611e-07,-7.022189792733863e-07,-1.02648718928544e-06,-1.4807380944194522e-06,-2.1091573972288543e-06,-2.9711165182174205e-06,-4.1467554574463994e-06,-5.741728556818099e-06,-7.89594498400942e-06,-1.0796755736944158e-05,-1.4692951246898458e-05,-1.990890885271174e-05,-2.6874194883804987e-05,-3.61599082149284e-05,-4.8513232838317015e-05,-6.491577253567134e-05,-8.665497351001972e-05,-0.00011541544922170975,-0.0001533943135591942,-0.000203447410782173,-0.00026926956589989854,-0.00035561740941467455,-0.0004685788790051154,-0.0006159082162594605,-0.0008074476521923347,-0.00105569944716727,-0.0013766586889749188,-0.0017910460949620939,-0.0023260761844870314,-0.0030175364939149657,-0.003911294512282917,-0.005062100934032537,-0.0065269030279937225,-0.008350838978933144,-0.010547403905922622,-0.013077864794531055,-0.01583789581716742,-0.01866483525207411,-0.021338041916758116,-0.02378858192510501,-0.026267053710400376,-0.02930959576295779,-0.033631890219408364,-0.039420275683338356,-0.045723587249238175,-0.04877733251667278,-0.042887625752457754,-0.024738317298971885,0.0015296104189254519,0.020071429481942602,0.015848028785844605,0.005116255423984507,0.028806881025845194,0.09445951547761108,0.139573182375734,0.13182711897216534,0.1676339090862433,0.25852753837612796,0.282839300099965,0.3344134007991809,0.4228402577521427,0.468678222100902,0.5651446718840117,0.6354332332449898,0.7337002000567249,0.8277499895478639,0.9292868935401986,1.0386640716180762,1.1522903546082854,1.270022897698876,1.3899020599011338,1.5124964537528744,1.636868765648644,1.7614172946443694,1.8848458737172804,2.006231171851637,2.124724866078534,2.239524627672865,2.3500132468044725,2.455837359916535,2.5568998329395116,2.6533294404533962,2.745437041818781,2.833651910748189,2.918445818385267,3.0002565163157455,3.0794470943145833,3.156300596439066,3.231038823845872,3.3038363317909725,3.374821449607906,3.444072109054112,3.511611185430363,3.5774243897833977,3.64150091967471,3.703862688725167,3.764535000601746,3.8235003510969627,3.8807325949828297
0.0,0.2804764357496802,0.04274956758060349,0.0,0.6153312415720976,0.9782495503974976,0.727950496721862,-1.0,0.0,0.0,2.088421926033326e-07,2.114574085415567e-07,1.9487078828123016e-07,1.495358509567985e-07,6.321666612430535e-08,-8.090454822512665e-08,-3.0633326993024474e-07,-6.444699758891444e-07,-1.1377617803360798e-06,-1.844639251942434e-06,-2.84411695334757e-06,-4.239949583081693e-06,-6.171672099338721e-06,-8.827801307490295e-06,-1.2456173495075112e-05,-1.7382144283476853e-05,-2.404029145750062e-05,-3.3007158305560125e-05,-4.5034856528934946e-05,-6.11113810885085e-05,-8.252816010782508e-05,-0.00011096450138260841,-0.00014859401818404286,-0.0001982120544055917,-0.00026339718092985423,-0.0003487116571614467,-0.00045997195697760517,-0.0006046378209634772,-0.0007923986141547389,-0.0010360335719753562,-0.0013525221617583698,-0.0017640805893646837,-0.002298224602235375,-0.002985435031586743,-0.003853098615614736,-0.004915902211429269,-0.006164840181108088,-0.00755892876179296,-0.009025570755946366,-0.010479273876885532,-0.011790895237397712,-0.013057142622744768,-0.01458770690336175,-0.016697347018929103,-0.019551501761773858,-0.023065996711604773,-0.025661918105675325,-0.02406973980450521,-0.014714018996536541,0.0024354684515703055,0.020648503017557097,0.02846874568817501,0.023999667613198054,0.028923815356286308,0.06472795455337263,0.11325147879944729,0.1297964457239991,0.13887968376840557,0.19443189887952372,0.24754749216655672,0.2744631715222082,0.34155076418849134,0.39678778860646535,0.4617637865258582,0.5343968554536429,0.6126412219846207,0.6963229114300193,0.7881650291019244,0.8849425117205396,0.987730449265277,1.0960170599015608,1.2090279685859417,1.3258828179173892,1.4457738564822133,1.5678006173415782,1.6908802189204242,1.813879261155374,1.9357156557626145,2.0553812389350785,2.1719627402629427,2.284688125072513,2.392978562846601,2.496485748215872,2.5950975053348393,2.6889271256622496,2.7782723425746383,2.8635514240536604,2.945227998754992,3.023738630203307,3.099448913308757,3.172638191031431,3.2435157823924765,3.3122478408923657,3.37897889809881,3.443838570763756,3.506928572371144,3.568304280515843,3.6279663784909495,3.68589812073909,3.7421254543540696
